module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Physical_Infra_Constraints,us_grid_connection_queue_gw,2600,GW,"LBNL Queued Up 2024; PJM/ERCOT/CAISO/MISO/NYISO/ISO-NE/SPP interconnection queues","https://queuedup.lbl.gov","2026-07-14",High,"Total generation+storage in US ISO/RTO queues as of 2024"
Physical_Infra_Constraints,us_data_center_queue_gw,300,GW,"LBNL Queued Up 2024 (filtered for data center/storage); DC Byte Q4 2025","https://queuedup.lbl.gov","2026-07-14",Medium,"Estimated data center portion of interconnection queues"
Physical_Infra_Constraints,transformer_lead_time_weeks,128,weeks,"Wood Mackenzie Q2 2025 Transformer Survey; MegaGrid Supply 2025","https://www.woodmac.com","2026-07-14",High,"Standard power transformers: 128 weeks; GSU: 144 weeks"
Physical_Infra_Constraints,generator_step_up_lead_time_weeks,144,weeks,"Wood Mackenzie Q2 2025; MegaGrid Supply Dec 2025","https://www.megagridsupply.com","2026-07-14",High,"Generator step-up units: 144 weeks (33 months)"
Physical_Infra_Constraints,power_transformer_supply_deficit_pct,30,percent,"Wood Mackenzie Q2 2025; Cleveland-Cliffs GOES capacity","https://www.woodmac.com","2026-07-14",High,"National supply deficit: 30% power transformers, 10% distribution"
Physical_Infra_Constraints,grain_oriented_electrical_steel_supplier_count_us,1,count,"Cleveland-Cliffs Butler Works; DOE Critical Materials Assessment 2025","https://www.clevelandcliffs.com","2026-07-14",High,"Single domestic GOES producer: Cleveland-Cliffs Butler Works PA"
Physical_Infra_Constraints,transformer_price_increase_since_2019_pct,77,percent,"Wood Mackenzie Q2 2025; MegaGrid Supply 2025","https://www.woodmac.com","2026-07-14",High,"Power transformer prices up 77% since 2019"
Physical_Infra_Constraints,distribution_transformer_price_increase_pct,95,percent,"Wood Mackenzie Q2 2025; IEA Transformer Market 2025","https://www.iea.org","2026-07-14",Medium,"Some distribution transformer classes up 95%"
Physical_Infra_Constraints,tsmc_cowos_capacity_2024_wpm,35000,WPM,"TrendForce 2024; SemiAnalysis TSMC CoWoS Tracker 2025","https://www.trendforce.com","2026-07-14",High,"TSMC CoWoS monthly wafer capacity end of 2024"
Physical_Infra_Constraints,tsmc_cowos_capacity_2025_wpm,70000,WPM,"TSMC earnings calls 2024-2025; TrendForce 2025","https://www.tsmc.com","2026-07-14",High,"Target 70-80k WPM by end 2025 (150% YoY growth)"
