name,period,fy,fp,revenue,sbc,sbc_pct_revenue,net_income
ADVANCED MICRO DEVICES INC,20221231,2022,FY,23601000000.0,1081000000.0,0.045803143934579044,3162000000.0
ADVANCED MICRO DEVICES INC,20230331,2023,Q1,5887000000.0,309000000.0,0.0524885340580941,786000000.0
ADVANCED MICRO DEVICES INC,20230630,2023,Q2,12437000000.0,657000000.0,0.05282624427112648,1233000000.0
ADVANCED MICRO DEVICES INC,20230930,2023,Q3,18002000000.0,1010000000.0,0.05610487723586268,1299000000.0
ADVANCED MICRO DEVICES INC,20231231,2023,FY,23601000000.0,1384000000.0,0.058641582983771874,3162000000.0
ADVANCED MICRO DEVICES INC,20240331,2024,Q1,5473000000.0,371000000.0,0.06778731956879225,123000000.0
ADVANCED MICRO DEVICES INC,20240630,2024,Q2,11308000000.0,717000000.0,0.0634064379200566,388000000.0
ADVANCED MICRO DEVICES INC,20240930,2024,Q3,18127000000.0,1068000000.0,0.05891763667457384,1159000000.0
ADVANCED MICRO DEVICES INC,20241231,2024,FY,25785000000.0,1407000000.0,0.05456660849331006,1641000000.0
ADVANCED MICRO DEVICES INC,20250331,2025,Q1,7438000000.0,371000000.0,0.04987899973111051,709000000.0
ADVANCED MICRO DEVICES INC,20250630,2025,Q2,15123000000.0,733000000.0,0.04846921907029029,1581000000.0
ADVANCED MICRO DEVICES INC,20250930,2025,Q3,24369000000.0,1152000000.0,0.04727317493536871,2824000000.0
ADVANCED MICRO DEVICES INC,20251231,2025,FY,34639000000.0,1638000000.0,0.04728773925344265,4335000000.0
ALPHABET INC.,20221231,2022,FY,282836000000.0,19362000000.0,0.06845663211189523,76033000000.0
ALPHABET INC.,20230331,2023,Q1,69787000000.0,5284000000.0,0.07571610758450714,16436000000.0
ALPHABET INC.,20230630,2023,Q2,144391000000.0,11058000000.0,0.07658372059200366,33419000000.0
ALPHABET INC.,20230930,2023,Q3,221084000000.0,16801000000.0,0.07599373993595195,53108000000.0
ALPHABET INC.,20231231,2023,FY,307394000000.0,22460000000.0,0.07306583732929074,76033000000.0
ALPHABET INC.,20240331,2024,Q1,80539000000.0,5284000000.0,0.0656079663268727,23662000000.0
ALPHABET INC.,20240630,2024,Q2,165281000000.0,11129000000.0,0.06733381332397553,47281000000.0
ALPHABET INC.,20240930,2024,Q3,253549000000.0,16975000000.0,0.0669495837096577,73582000000.0
ALPHABET INC.,20241231,2024,FY,350018000000.0,22785000000.0,0.065096652172174,100118000000.0
ALPHABET INC.,20250331,2025,Q1,90234000000.0,5516000000.0,0.061129951016246645,34540000000.0
ALPHABET INC.,20250630,2025,Q2,,11514000000.0,,62736000000.0
ALPHABET INC.,20250930,2025,Q3,,17882000000.0,,97715000000.0
ALPHABET INC.,20251231,2025,FY,,24953000000.0,,132170000000.0
AMAZON COM INC,20221231,2022,FY,513983000000.0,19621000000.0,0.03817441432887858,33364000000.0
AMAZON COM INC,20230331,2023,Q1,127358000000.0,21119000000.0,0.16582389798834782,21413000000.0
AMAZON COM INC,20230630,2023,Q2,261741000000.0,23037000000.0,0.08801448760415831,13072000000.0
AMAZON COM INC,20230930,2023,Q3,404824000000.0,23310000000.0,0.05758057822658735,20079000000.0
AMAZON COM INC,20231231,2023,FY,574785000000.0,24023000000.0,0.04179475803996277,33364000000.0
AMAZON COM INC,20240331,2024,Q1,143313000000.0,24236000000.0,0.16911236245141753,37684000000.0
AMAZON COM INC,20240630,2024,Q2,291290000000.0,23831000000.0,0.08181193999107418,44419000000.0
AMAZON COM INC,20240930,2024,Q3,450167000000.0,23335000000.0,0.051836318521793025,49868000000.0
AMAZON COM INC,20241231,2024,FY,637959000000.0,24023000000.0,0.037656024916961746,59248000000.0
AMAZON COM INC,20250331,2025,Q1,155667000000.0,24236000000.0,0.1556913154361554,65944000000.0
AMAZON COM INC,20250630,2025,Q2,323369000000.0,23831000000.0,0.07369599435938509,70623000000.0
