company,deployment_date,agent_count,agent_type,use_case,productivity_gain_pct,cost_savings_usd,roi_multiple,source
google,2025-01-15,1302,gemini_enterprise,general_enterprise,0,0,0,google_cloud_next_2025
salesforce,2025-10-13,20000,agentforce,customer_service_sales,0,0,0,salesforce_press_release
microsoft,2025-01-30,150000,copilot_m365,productivity_suite,0,0,0,microsoft_earnings_q2_2025
github,2024-12-31,77000,copilot,software_development,26,0,0,github_blog
anthropic,2026-02-15,300000,claude_enterprise,general_enterprise,0,0,0,anthropic_blog
aws,2025-06-30,50000,bedrock_agents,cloud_operations,0,0,0,aws_reinvent
servicenow,2025-03-15,10000,now_assist,it_service_management,0,0,0,servicenow_press
intercom,2024-11-01,1000,fin,customer_support,28,0,0,intercom_case_study
sierra,2025-02-01,500,sierra_agents,customer_support,35,0,0,sierra_blog
ada,2024-10-01,2000,ada_agents,customer_support,40,0,0,ada_case_study
decagon,2025-01-15,300,decagon_agents,customer_support,45,0,0,decagon_blog
opentable,2025-05-01,50,agentforce,restaurant_reservations,0,0,0,salesforce_customer_story
heathrow,2025-06-01,100,agentforce,airport_operations,0,0,0,salesforce_customer_story
equinox,2025-07-01,200,agentforce,fitness_operations,0,0,0,salesforce_customer_story
bionic,2025-08-01,500,agentforce,prosthetics_manufacturing,0,0,0,salesforce_customer_story
fujitsu,2025-09-01,1000,agentforce,it_services,0,0,0,salesforce_customer_story
finnair,2025-10-01,300,agentforce,airline_operations,0,0,0,salesforce_customer_story
engine,2025-11-01,100,agentforce,financial_services,0,0,0,salesforce_customer_story
good360,2025-12-01,50,agentforce,nonprofit_logistics,0,0,0,salesforce_customer_story
indeed,2026-01-01,200,agentforce,job_marketplace,0,0,0,salesforce_customer_story
1800accountant,2026-02-01,100,agentforce,accounting_services,0,0,0,salesforce_customer_story
sharkninja,2026-03-01,500,agentforce,consumer_products,0,0,0,salesforce_customer_story
accenture,2025-10-13,740000,copilot_m365,consulting_services,0,0,0,microsoft_customer_story
bayer,2025-11-01,90000,copilot_m365,pharma,0,0,0,microsoft_customer_story
johnson_johnson,2025-12-01,90000,copilot_m365,healthcare,0,0,0,microsoft_customer_story
roche,2026-01-01,90000,copilot_m365,pharma,0,0,0,microsoft_customer_story
disney,2025-10-15,50000,copilot_m365,media,0,0,0,microsoft_customer_story
dow,2025-11-15,50000,copilot_m365,chemicals,0,0,0,microsoft_customer_story
kyndryl,2025-12-15,50000,copilot_m365,it_services,0,0,0,microsoft_customer_story
novartis,2026-01-15,50000,copilot_m365,pharma,0,0,0,microsoft_customer_story
ey,2025-10-13,150000,agentforce,consulting,0,0,0,salesforce_press_release
capital_group,2025-11-01,50000,copilot_m365,finance,0,0,0,microsoft_customer_story
