facility_id,facility_name,operator,tenant,hyperscaler_category,city,state_province,country,latitude,longitude,status,capacity_mw,capacity_category,expected_online_date,project_cost_usd,cooling_type,power_source,purpose,source_url,notes,tier
DC-00001,Stratos Hyperscale Campus,Bitzero Blockchain Inc.,,Bitzero,,Utah,United States,,,Planned,9000,Mega campus (>1,,,,,,Largest announced US project,AI/Hyperscale,Tier 1
DC-00002,Monarch Compute Campus,Nscale Ltd.,2027,Nscale,,West Virginia,United States,,,Planned,8000,Mega campus (>1,,,,,,$1.6B+ investment,AI/Hyperscale,Tier 1
DC-00003,GW Ranch,Pacifico Energy,2027,Pacifico Energy,,Texas,United States,,,Planned,7650,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00004,New Era Lea Data Center,New Era Energy & Digital,2028,New Era Energy,,New Mexico,United States,,,Planned,7000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00005,Data City Texas,Energy Abundance,2027,Energy Abundance,,Texas,United States,,,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00006,Sailfish Comanche Circle,Sailfish Digital Ventures,2028,Sailfish Digital,,Texas,United States,,,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00007,GridFree AI South Dallas One,GridFree AI,2026,GridFree AI,,Texas,United States,,,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00008,Meta Hyperion Campus,Meta,2026,Meta,,Louisiana,United States,,,Under Construction,5000,Mega campus (>1,,,,,Meta,$10B+ campus,AI/Hyperscale,Tier 1
DC-00009,Meta Hyperion,Meta,,Meta,,Louisiana,United States,,,Under Construction,5000,Mega campus (>1,,,,,Meta,,AI/Hyperscale,Tier 1
DC-00010,Fermi Phase 3 (SMR/Expansion),Fermi America,2036,Fermi America,,Texas,United States,,,Planned,4600,Mega campus (>1,,,,,,Nuclear SMR,AI/Hyperscale,Tier 1
DC-00011,Homer City Energy Campus,Homer City Redevelopment,2027,Homer City Redevelopment,,Pennsylvania,United States,40.51395,-79.1967,Planned,4500,Mega campus (>1,,,,,,Repurposed coal plant,AI/Hyperscale,Tier 1
DC-00012,Fermi Phase 2 (Nuclear),Fermi America,2032,Fermi America,,Texas,United States,,,Planned,4400,Mega campus (>1,,,,,,Nuclear,AI/Hyperscale,Tier 1
DC-00013,High Performance Compute Campus,Joule Capital Partners,2026,Joule Capital,,Utah,United States,,,Planned,4000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00014,STAK Energy North Slopes,STAK Energy,,STAK Energy,,Alaska,United States,,,Planned,3000,Mega campus (>1,,,,,,Natural gas,AI/Hyperscale,Tier 1
DC-00015,Vermaland La Osa Campus,Vermaland,,Vermaland,,Arizona,United States,,,Planned,3000,Mega campus (>1,,,,,,$33B project,AI/Hyperscale,Tier 1
DC-00016,Vermaland Pinal County,Vermaland LLC,$33 billion,Vermaland,Red Rock,Arizona,United States,,,Planned,3000,Mega campus (>1,,,,,,AI/Hyperscale,,Tier 1
DC-00017,North Creek Tech Campus,Amazon,,AWS,,Virginia,United States,37.968376,-77.95334,Planned,2700,Mega campus (>1,,,,,AWS,,Cloud/AI,Tier 1
DC-00018,Crusoe Tallgrass Wyoming,Crusoe,,Crusoe,,Wyoming,United States,,,Planned,2700,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00019,Crusoe Tallgrass,Crusoe,,Crusoe,,Wyoming,United States,,,Planned,2700,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00020,Hanover Technology Park,Tract,,Tract,,Virginia,United States,,,Planned,2400,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00021,Project Marvel,Logistic Land Investments LLC,2032,Logistic Land Investments,Bessemer,Alabama,United States,33.342,-87.0341,Planned,1200,Mega campus (>1,$14 billion,,,,,"Community opposition, NDAs signed",AI/Hyperscale,Tier 1
DC-00022,Stargate Abilene Phase 2,Crusoe/Oracle/OpenAI,,Oracle,Abilene,Texas,United States,,,Under Construction,1200,Mega campus (>1,,,,,OpenAI/Oracle,6 new buildings,AI/Hyperscale,Tier 1
DC-00023,Wilsonville Data Center,Northpoint Development,,Northpoint Development,Wilsonville,Alabama,United States,33.257,-86.495,Planned,1008,Mega campus (>1,,,,,,Community opposition,AI/Hyperscale,Tier 1
DC-00024,Project Jarvis,,,Other/Unclassified,Fort Pierce,Florida,United States,,,Suspended,1000,Mega campus (>1,,,,,,Voted down 4-2,AI/Hyperscale,Tier 1
DC-00025,Stargate UAE,Stargate Consortium,,Oracle,,,United Arab Emirates,,,Planned,1000,Mega campus (>1,,,,,OpenAI/Oracle/MGX,1GW cluster,AI/Hyperscale,Tier 1
DC-00026,Project Leo,Avaio Digital,2027,AVAIO Digital,Little Rock,Arkansas,United States,34.618,-92.26808,Planned,575,Hyperscale (100-999 MW),$6 billion,,,,,"Natural gas, Entergy contract",AI/Hyperscale,Tier 1
DC-00027,Project Blue Marana,Beale Infrastructure,,Beale Infrastructure,Marana,Arizona,United States,32.4929,-111.28652,Planned,425,Hyperscale (100-999 MW),,,,,2027,"Air cooled, 610 acres",AI/Hyperscale,Tier 2
DC-00028,Imperial Valley Project,Imperial Valley Computer Manufacturing/Google,Google (unconfirmed),Google,Imperial,California,United States,,,Under Construction,330,Hyperscale (100-999 MW),2027,10000000000.0,,,AI/Hyperscale,https://www.imperialdatacenter.com/,"100 gas generators, 862MWh BESS",Tier 2
DC-00029,Colossus xAI,xAI,xAI,xAI,Shelby,Tennessee,United States,,,Operating,300,Hyperscale (100-999 MW),2025,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/xai-colossus-supercomputer-memphis-tennessee/,100k GPUs,Tier 2
DC-00030,Microsoft Fairwater Atlanta,Microsoft/QTS,Microsoft,Microsoft,Fayette County,Georgia,United States,,,Operating,268,Hyperscale (100-999 MW),2026,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/microsoft-fairwater-atlanta-building-4-268mw/,"Building 4 268MW, Bldg 2 260MW",Tier 2
DC-00031,Prime Phoenix Campus,Prime Data Centers,,Prime Data Centers,Tolleson,Arizona,United States,,,Under Construction,240,Hyperscale (100-999 MW),,29000000.0,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/prime-data-centers-breaks-ground-on-three-out-of-five-buildings-at-its-240mw-campus-in-phoenix-arizona/,3 of 5 buildings broke ground,Tier 2
DC-00032,Stargate Norway,Stargate Consortium,OpenAI/Oracle,Oracle,Kvandal/Narvik,,Norway,,,Planned,230,Hyperscale (100-999 MW),2026,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/stargate-norway-aims-lead-europes-ai-infrastructure/,100k GPUs by 2026,Tier 2
DC-00033,NTT Mesa Campus,NTT Global Data Centers,,NTT,Mesa,Arizona,United States,,,Under Construction,200,Hyperscale (100-999 MW),$300 million,,,,,"173 acres, 500-700MW secondary",AI/Hyperscale,Tier 2
DC-00034,Stream Phoenix,Stream Data Centers,,Stream Data Centers,Goodyear,Arizona,United States,,,Under Construction,200,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/stream-dc-files-to-expand-phoenix-campus-to-200mw/,,Tier 2
DC-00035,Stargate Abilene Phase 1,Crusoe/Oracle/OpenAI,,Oracle,Abilene,Texas,United States,,,Under Construction,200,Mega campus (>1,,,,,OpenAI/Oracle,Phase 1 of 1.2GW,AI/Hyperscale,Tier 2
DC-00036,Vantage Goodyear,Vantage Data Centers,,Vantage,Goodyear,Arizona,United States,,,Under Construction,176,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/vantage-completes-construction-on-first-data-center-in-goodyear-arizona/,,Tier 2
