model,organization,release_date,parameters_b,compute_flops,compute_cost_usd,training_tokens,training_time_days,gpu_type,gpu_count,training_cost_per_token,training_cost_per_flop,source
gpt-4,openai,2023-03-14,1760,2.15e25,63000000,13000000000000,100,a100_80gb,25000,4.8e-6,2.9e-8,epoch_ai/semi_analysis
gpt-4-turbo,openai,2023-11-06,1760,2.15e25,50000000,13000000000000,80,a100_80gb,20000,3.8e-6,2.3e-8,semi_analysis
gpt-4o,openai,2024-05-13,1760,2.15e25,40000000,13000000000000,60,a100_80gb,15000,3.1e-6,1.9e-8,openai_blog
gpt-4o-mini,openai,2024-07-18,80,1.2e24,5000000,6500000000000,30,h100,8000,7.7e-7,4.2e-9,openai_blog
claude-3-opus,anthropic,2024-03-04,2000,2.5e25,50000000,15000000000000,90,a100_80gb,20000,3.3e-6,2.0e-8,semi_analysis
claude-3-sonnet,anthropic,2024-03-04,500,8e24,20000000,5000000000000,60,a100_80gb,10000,4.0e-6,2.5e-9,semi_analysis
claude-3-haiku,anthropic,2024-03-04,100,2e24,5000000,1500000000000,30,a100_80gb,3000,3.3e-6,2.5e-9,semi_analysis
claude-3.5-sonnet,anthropic,2024-06-20,500,8e24,15000000,5000000000000,45,h100,8000,3.0e-6,1.9e-9,anthropic_blog
claude-3.5-haiku,anthropic,2024-10-22,100,2e24,3000000,1500000000000,20,h100,4000,2.0e-6,1.5e-9,anthropic_blog
llama-3-70b,meta,2024-04-18,70,1.5e24,8000000,15000000000000,30,h100,6000,5.3e-7,5.3e-9,meta_blog
llama-3-405b,meta,2024-07-23,405,8.5e24,40000000,15000000000000,60,h100,16000,4.7e-6,4.7e-9,meta_blog
gemini-1.5-pro,google,2024-05-14,1500,1.8e25,50000000,12000000000000,80,tpu_v5,10000,4.2e-6,2.8e-9,google_blog
gemini-1.5-flash,google,2024-05-14,200,2.5e24,8000000,2000000000000,30,tpu_v5,3000,4.0e-6,3.2e-9,google_blog
gemini-2.0-flash,google,2025-02-05,300,3e24,10000000,3000000000000,35,tpu_v5,4000,3.3e-6,3.3e-9,google_blog
mistral-large,mistral,2024-02-26,1230,1.6e25,30000000,10000000000000,50,a100_80gb,12000,3.0e-6,1.9e-9,mistral_blog
mixtral-8x7b,mistral,2023-12-11,47,5e23,5000000,3000000000000,20,a100_80gb,4000,1.7e-6,1.0e-8,mistral_blog
deepseek-v3,deepseek,2024-12-26,671,3.5e24,5000000,14000000000000,30,h100,2000,3.6e-7,1.4e-9,deepseek_blog
deepseek-r1,deepseek,2025-01-20,671,3.5e24,6000000,14000000000000,35,h100,2000,4.3e-7,1.7e-9,deepseek_blog
qwen-2.5-72b,alibaba,2024-09-19,72,1.8e24,10000000,18000000000000,35,h100,8000,5.6e-7,5.6e-9,qwen_blog
qwen-2.5-32b,alibaba,2024-09-19,32,9e23,5000000,9000000000000,25,h100,4000,5.6e-7,5.6e-9,qwen_blog
yi-34b,01.ai,2024-01-25,34,5e23,3000000,4000000000000,20,a100_80gb,2000,7.5e-7,6.0e-9,yi_blog
glm-4,zhipu,2024-10-10,1000,1.2e25,20000000,8000000000000,40,h100,5000,2.5e-6,1.7e-9,zhipu_blog
nemotron-3-ultra,nvidia,2024-06-20,2000,2.5e25,30000000,15000000000000,45,h100,10000,2.0e-6,1.2e-8,nvidia_blog
