module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Revenue_Quality,high_quality_revenue_pct_hyperscalers,0.65,ratio,"KeyBanc SaaS Survey 2025; ICONIQ 2025; Bessemer State of Cloud 2025","https://www.keybanc.com","2026-07-14",High,"Mission-critical enterprise, long-term contracts, high switching costs"
Revenue_Quality,medium_quality_revenue_pct_hyperscalers,0.25,ratio,"KeyBanc SaaS Survey 2025; ICONIQ 2025","https://www.keybanc.com","2026-07-14",Medium,"API usage, productivity subscriptions, developer platforms"
Revenue_Quality,low_quality_revenue_pct_hyperscalers,0.10,ratio,"KeyBanc SaaS Survey 2025; ICONIQ 2025","https://www.keybanc.com","2026-07-14",Medium,"Promotional pricing, experimental, free-tier conversions, one-time pilots"
Revenue_Quality,net_revenue_retention_hyperscalers,1.15,ratio,"KeyBanc 2025; ICONIQ 2025; Twilio/Snowflake/Databricks investor decks 2025","https://www.keybanc.com","2026-07-14",High,"NRR 115-120% for cloud/AI platforms (expansion > churn)"
Revenue_Quality,gross_revenue_retention_hyperscalers,0.95,ratio,"KeyBanc 2025; ICONIQ 2025","https://www.keybanc.com","2026-07-14",High,"GRR 95%+ (low logo churn, high switching costs)"
Revenue_Quality,expansion_revenue_rate_pct,0.20,ratio,"KeyBanc 2025; Bessemer 2025","https://www.bvp.com","2026-07-14",High,"20%+ revenue from existing customer expansion annually"
Revenue_Quality,contract_length_weighted_avg_years,3.2,count,"Flexera State of Cloud 2025; KeyBanc 2025","https://www.flexera.com","2026-07-14",High,"Weighted avg contract length: 3.2 years (1yr spot, 3yr CUD, 5yr EA)"
Revenue_Quality,three_year_contract_share_pct,0.45,ratio,"AWS/Azure/GCP CUD disclosures 2025; Flexera 2025","https://www.flexera.com","2026-07-14",High,"45% of committed spend on 3-year contracts"
Revenue_Quality,five_year_contract_share_pct,0.15,ratio,"AWS/Azure/GCP EA disclosures 2025; KeyBanc 2025","https://www.keybanc.com","2026-07-14",Medium,"15% on 5-year enterprise agreements (hyperscalers only)"
Revenue_Quality,gpu_reservation_contract_length_years,3,count,"Tenki Cloud 2026; Axe Compute 2026; GPUaaS.com 2026","https://tenki.cloud","2026-07-14",High,"GPU reserved capacity: typical 3-year terms (2,304 GPU B300 @ $260M/3yr)"
Revenue_Quality,gpu_reservation_break_even_utilization_pct,0.65,ratio,"GPUaaS.com 2026; Together AI pricing 2026","https://gpuaas.com","2026-07-14",High,"Reserved GPU break-even at 64-68% utilization"
Revenue_Quality,cloud_revenue_promotional_free_tier_pct,0.08,ratio,"AWS/Azure/GCP investor presentations 2025; KeyBanc 2025","https://www.keybanc.com","2026-07-14",Medium,"8% of cloud revenue from free tier/promotional credits"
Revenue_Quality,api_usage_revenue_pct_ai_cloud,0.22,ratio,"Menlo Ventures Enterprise AI 2025; KeyBanc 2025","https://menlovc.com","2026-07-14",High,"22% of AI cloud revenue from API/consumption (vs 78% reserved)"
Revenue_Quality,enterprise_software_maintenance_revenue_pct,0.70,ratio,"Bessemer State of Cloud 2025; ICONIQ 2025","https://www.bvp.com","2026-07-14",High,"70% of enterprise software revenue recurring maintenance/subscription"
