module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Global_Macro_Feedback,global_gdp_growth_2025_pct,3.3,percent,"IMF WEO Oct 2025; World Bank Jan 2026","https://www.imf.org","2026-07-14",High,"IMF: 3.3% 2025 (revised up from 3.2%)"
Global_Macro_Feedback,global_gdp_growth_2026_pct,3.0,percent,"IMF WEO Update Jan 2026; IMF WEO Apr 2026","https://www.imf.org","2026-07-14",High,"IMF: 3.0% 2026 (stable from 2025); war/tech crosscurrents"
Global_Macro_Feedback,global_gdp_growth_2027_pct,3.4,percent,"IMF WEO Update Jan 2026","https://www.imf.org","2026-07-14",High,"IMF: 3.4% 2027 recovery as energy shock fades"
Global_Macro_Feedback,us_gdp_growth_2025_pct,2.8,percent,"BEA Q4 2025 advance; Atlanta Fed GDPNow 2026","https://www.bea.gov","2026-07-14",High,"US GDP 2.8% 2025 (AI capex + wealth effect)"
Global_Macro_Feedback,us_gdp_growth_2026_pct,2.2,percent,"Aberdeen 2026; Morgan Stanley Midyear 2026; IMF Jan 2026","https://www.aberdeenplc.com","2026-07-14",High,"Aberdeen 2.2% (above consensus); Morgan Stanley 2.1%"
Global_Macro_Feedback,us_gdp_growth_2027_pct,1.9,percent,"Aberdeen 2026; Morgan Stanley Midyear 2026","https://www.morganstanley.com","2026-07-14",High,"Slowing to trend as AI capex growth moderates"
Global_Macro_Feedback,us_inflation_pce_2025_pct,2.5,percent,"BEA PCE Dec 2025; Fed Summary of Economic Projections Mar 2026","https://www.bea.gov","2026-07-14",High,"Core PCE 2.5% 2025; Fed target 2% by 2027"
Global_Macro_Feedback,us_inflation_pce_2026_pct,2.3,percent,"Aberdeen 2026; Morgan Stanley Midyear 2026","https://www.aberdeenplc.com","2026-07-14",High,"PCE declining to 2.3% in 2026 (from 2.5% in 2025)"
Global_Macro_Feedback,fed_funds_rate_2025_pct,4.25,percent,"Fed Summary of Economic Projections Dec 2025; FOMC minutes 2025","https://www.federalreserve.gov","2026-07-14",High,"Fed funds 4.25-4.50% at end 2025 (2 cuts in 2025)"
Global_Macro_Feedback,fed_funds_rate_2026_pct,3.5,percent,"Fed SEP Dec 2025; Morgan Stanley Midyear 2026","https://www.federalreserve.gov","2026-07-14",High,"Fed cutting to 3.5% by end 2026 (100bps cuts)"
Global_Macro_Feedback,fed_funds_rate_2027_pct,3.0,percent,"Fed SEP Dec 2025","https://www.federalreserve.gov","2026-07-14",High,"Terminal rate ~3.0% by end 2027"
Global_Macro_Feedback,us_10y_treasury_2025_pct,4.0,percent,"US Treasury Dept 2025; Bloomberg 2025","https://www.treasury.gov","2026-07-14",High,"10Y at 4.0% end 2025 (term premium normalized)"
Global_Macro_Feedback,us_10y_treasury_2026_pct,3.8,percent,"Morgan Stanley Midyear 2026; Aberdeen 2026","https://www.morganstanley.com","2026-07-14",High,"10Y declining to 3.8% as inflation normalizes"
Global_Macro_Feedback,high_yield_spread_2025_bps,350,bps,"Bloomberg Barclays HY 2025; ICE BofA HY Index","https://www.bloomberg.com","2026-07-14",High,"HY spreads 350bps (tight by historical standards)"
Global_Macro_Feedback,investment_grade_spread_2025_bps,120,bps,"Bloomberg Barclays IG 2025; S&P Global 2025","https://www.spglobal.com","2026-07-14",High,"IG spreads 120bps (compressed vs 150bps avg)"
Global_Macro_Feedback,oil_price_brent_2025_usd_per_barrel,75,USD,"EIA STEO 2025; OPEC Monthly Oil Market Report 2025","https://www.eia.gov","2026-07-14",High,"Brent ~$75/bbl 2025 avg (demand growth < supply)"
Global_Macro_Feedback,oil_price_brent_2026_usd_per_barrel,70,USD,"EIA STEO 2026; Morgan Stanley Midyear 2026; IEA Oil 2026","https://www.iea.org","2026-07-14",High,"Brent declining to $70 as OPEC+ spare capacity + demand growth slows"
Global_Macro_Feedback,china_gdp_growth_2025_pct,4.8,percent,"NBS China 2025; IMF WEO 2026; World Bank China 2025","https://www.stats.gov.cn","2026-07-14",High,"China 4.8% 2025 (property drag, weak consumption)"
Global_Macro_Feedback,china_gdp_growth_2026_pct,4.5,percent,"IMF WEO Jan 2026; Aberdeen 2026","https://www.imf.org","2026-07-14",High,"China 4.5% 2026 (stimulus offsetting structural slowdown)"
Global_Macro_Feedback,eu_gdp_growth_2026_pct,1.2,percent,"ECB Dec 2025; Eurostat 2026; IMF WEO Jan 2026","https://www.ecb.europa.eu","2026-07-14",High,"Eurozone 1.2% 2026 (fiscal expansion, rate cuts)"
Global_Macro_Feedback,japan_gdp_growth_2026_pct,1.0,percent,"BOJ Outlook 2025; IMF WEO 2026","https://www.boj.or.jp","2026-07-14",High,"Japan 1.0% 2026 (wage growth supporting consumption)"
Global_Macro_Feedback,india_gdp_growth_2026_pct,6.5,percent,"RBI 2025; IMF WEO 2026; World Bank India 2026","https://www.rbi.org.in","2026-07-14",High,"India 6.5% 2026 (strong domestic demand, capex)"
Global_Macro_Feedback,global_capex_ai_related_billion_usd_2026,602,USD_B,"Introl 2026; Goldman Sachs 2025; Company guidance 2025","https://blakecrosley.com","2026-07-14",High,"$602B hyperscaler capex 2026 (+36% YoY)"
Global_Macro_Feedback,global_it_spending_2026_trillion_usd,5.7,USD_T,"Gartner 2026; PwC Middle East 2025","https://www.gartner.com","2026-07-14",High,"$5.7T global IT spend (AI infrastructure major driver)"
Global_Macro_Feedback,vc_ai_investment_2024_billion_usd,49,USD_B,"EY Ireland Generative AI Key Deals 2025; PitchBook 2025","https://www.ey.com","2026-07-14",High,"$49.2B H1 2025 alone (vs $44.2B all 2024)"
Global_Macro_Feedback,global_ai_investment_2025_billion_usd,200,USD_B,"Goldman Sachs 2025; GM Insights 2025","https://www.goldmansachs.com","2026-07-14",High,"Goldman: $200B global AI investment 2025 (US ~50%)"
Global_Macro_Feedback,global_ai_investment_2026_projected_billion_usd,250,USD_B,"Goldman Sachs 2025; Morgan Stanley 2026","https://www.goldmansachs.com","2026-07-14",Medium,"Projected $250B+ global AI investment 2026"
Global_Macro_Feedback,global_semiconductor_sales_2025_billion_usd,630.5,USD_B,"SIA 2025; WSTS 2025; Statista 2025","https://www.semiconductors.org","2026-07-14",High,"$630.5B global semi sales 2025 (+19.1% YoY)"
Global_Macro_Feedback,us_current_account_deficit_2025_pct_gdp,3.5,percent,"BEA 2025; Treasury International Capital 2025","https://www.bea.gov","2026-07-14",High,"US CA deficit 3.5% GDP (capital inflows funding AI buildout)"
Global_Macro_Feedback,us_federal_deficit_2025_pct_gdp,6.5,percent,"CBO 2025; Treasury Dept 2025","https://www.cbo.gov","2026-07-14",High,"Federal deficit 6.5% GDP (high but sustainable)"
Global_Macro_Feedback,global_debt_to_gdp_2025_pct,240,percent,"IMF Fiscal Monitor 2025; IIF Global Debt Monitor 2025","https://www.imf.org","2026-07-14",High,"Global debt/GDP 240% (record high but manageable rates)"
Global_Macro_Feedback,us_productivity_growth_2025_pct,2.3,percent,"BLS Q4 2025; St. Louis Fed 2026","https://www.bls.gov","2026-07-14",High,"US productivity 2.3% 2025 (retail 4.6%, wholesale 1.8%)"
