module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Capital_Market_Reflexivity,valuation_to_funding_cost_elasticity,0.35,ratio,"Morgan Stanley 2026; American Century 2026; SemiAnalysis 2026","https://www.morganstanley.com","2026-07-14",Medium,"Stock price -> easier funding -> more hiring/capex -> capacity -> revenue"
Capital_Market_Reflexivity,capex_to_revenue_sensitivity_hyperscalers,0.35,ratio,"Morgan Stanley 2026; American Century 2026","https://www.morganstanley.com","2026-07-14",Medium,"Stock price -> easier funding -> more hiring/capex -> capacity -> revenue"
Capital_Market_Reflexivity,downward_deleveraging_multiplier,2.5,ratio,"Morgan Stanley 2026; American Century 2026","https://www.morganstanley.com","2026-07-14",Low,"Reverse reflexivity: stock drop -> harder funding -> capex cuts -> capacity -> revenue"
Capital_Market_Reflexivity,valuation_overshoot_pct_above_fundamental,0.25,ratio,"IntuitionLabs AI Bubble vs Dot-com 2026; Aswath Damodaran 2026","https://intuitionlabs.ai","2026-07-14",Low,"AI stocks ~25% above DCF fair value (vs 100%+ in dot-com)"
Capital_Market_Reflexivity,ai_capex_as_pct_hyperscaler_revenue,0.52,ratio,"American Century 2026; Introl 2026; Company 10-Ks 2025","https://www.americancentury.com","2026-07-14",High,"Meta 52%, AWS 57%, Microsoft 48%, Google 45% capex/revenue"
Capital_Market_Reflexivity,capex_per_incremental_revenue_usd,2.60,USD,"AgentMarketCap 2026; CoreWeave 2026 guidance","https://agentmarketcap.ai","2026-07-14",High,"CoreWeave: $2.60 capex per $1 new revenue (2026 guide)"
Capital_Market_Reflexivity,hyperscaler_capex_2026_billion_usd,602,USD_B,"Introl Blog 2026; Goldman Sachs 2025; Company guidance 2025","https://blakecrosley.com","2026-07-14",High,"Big 5: Amazon $125B, Microsoft $100B+, Google $100B+, Meta $100B, Oracle $20B"
Capital_Market_Reflexivity,passive_fund_flow_to_tech_pct_equity_flows,0.40,ratio,"EPFR Global 2025; BofA Flow Show 2025; Goldman Sachs Global Portfolio Strategy 2025","https://www.epfr.com","2026-07-14",High,"40% of equity inflows to tech (vs 25% pre-2020)"
Capital_Market_Reflexivity,short_interest_ai_stocks_pct_float,0.03,ratio,"S3 Partners 2026; Bloomberg Short Interest 2026","https://www.spglobal.com","2026-07-14",High,"Very low short interest despite high valuations (crowded long)"
Capital_Market_Reflexivity,call_option_skew_ai_stocks,0.15,ratio,"Cboe Skew Index 2026; Goldman Sachs Derivatives Research 2026","https://www.cboe.com","2026-07-14",Medium,"Call skew elevated: upside speculation > downside protection"
Capital_Market_Reflexivity,margin_debt_yoy_change_pct,0.25,ratio,"FINRA Margin Statistics 2026; NYSE Margin Debt 2026","https://www.finra.org","2026-07-14",Medium,"Margin debt growing 25% YoY (vs 10% pre-AI boom)"
Capital_Market_Reflexivity,valuation_overshoot_correction_lag_quarters,6,quarters,"IntuitionLabs 2026; Aswath Damodaran 2026; Dot-com 2000-2002 analog","https://intuitionlabs.ai","2026-07-14",Low,"Valuation correction typically lags fundamental inflection by 4-8 quarters"
Capital_Market_Reflexivity,reflexivity_amplification_factor,1.4,ratio,"Soros reflexivity theory; Shiller 2025; Morgan Stanley 2026","https://www.morganstanley.com","2026-07-14",Low,"Theoretical: price changes fundamentals which changes price (1.4x loop)"
Capital_Market_Reflexivity,etf_tech_concentration_pct,0.28,ratio,"SPY/XLK holdings 2026; Bloomberg ETF Flows 2026","https://www.bloomberg.com","2026-07-14",High,"28% of S&P 500 in 7 tech stocks (vs 18% in 2019)"
Capital_Market_Reflexivity,index_fund_forced_buying_pct_flows,0.60,ratio,"Vanguard/BlackRock/State Street flow data 2025; S&P DJI 2026","https://www.spdji.com","2026-07-14",High,"60% of equity inflows passive -> forced buying of AI-heavy indices"
Capital_Market_Reflexivity,gamma_exposure_ai_stocks_billion_usd,50,USD_B,"Cboe Global Markets 2026; SpotGamma 2026","https://www.cboe.com","2026-07-14",Medium,"Dealer gamma exposure creates momentum feedback at key strikes"
Capital_Market_Reflexivity,earnings_revision_breadth_ai_vs_market,1.5,ratio,"FactSet Earnings Insight 2026; IBES 2026","https://www.factset.com","2026-07-14",High,"AI stocks seeing 50% more positive revisions than market avg"
