name,period,fy,fp,form,revenue,sbc,sbc_pct_revenue,net_income,rd_expense,rd_intensity,operating_margin
ADVANCED MICRO DEVICES INC,20221231,2022,FY,10-K,23601000000.0,1081000000.0,0.045803143934579044,3162000000.0,5005000000.0,0.21206728528452184,0.21096563704927757
ADVANCED MICRO DEVICES INC,20230331,2023,Q1,10-Q,5887000000.0,309000000.0,0.0524885340580941,786000000.0,1411000000.0,0.2396806522846951,0.16154238151860031
ADVANCED MICRO DEVICES INC,20230630,2023,Q2,10-Q,12437000000.0,657000000.0,0.05282624427112648,1233000000.0,2854000000.0,0.22947656187183404,0.12503015196590817
ADVANCED MICRO DEVICES INC,20230930,2023,Q3,10-Q,18002000000.0,1010000000.0,0.05610487723586268,1299000000.0,4361000000.0,0.24225086101544274,0.12037551383179647
ADVANCED MICRO DEVICES INC,20231231,2023,FY,10-K,23601000000.0,1384000000.0,0.058641582983771874,3162000000.0,5872000000.0,0.24880301682132114,0.21096563704927757
ADVANCED MICRO DEVICES INC,20240331,2024,Q1,10-Q,5473000000.0,371000000.0,0.06778731956879225,123000000.0,1525000000.0,0.27864059930568247,0.14580668737438335
ADVANCED MICRO DEVICES INC,20240630,2024,Q2,10-Q,11308000000.0,717000000.0,0.0634064379200566,388000000.0,3108000000.0,0.2748496639547223,0.13751326494517155
ADVANCED MICRO DEVICES INC,20240930,2024,Q3,10-Q,18127000000.0,1068000000.0,0.05891763667457384,1159000000.0,4744000000.0,0.26170905279417445,0.1282617090527942
ADVANCED MICRO DEVICES INC,20241231,2024,FY,10-K,25785000000.0,1407000000.0,0.05456660849331006,1641000000.0,6456000000.0,0.2503781268179174,0.19309676168314913
ADVANCED MICRO DEVICES INC,20250331,2025,Q1,10-Q,7438000000.0,371000000.0,0.04987899973111051,709000000.0,1728000000.0,0.23232051626781391,0.1253025006722237
ADVANCED MICRO DEVICES INC,20250630,2025,Q2,10-Q,15123000000.0,733000000.0,0.04846921907029029,1581000000.0,3622000000.0,0.2395027441645176,0.0849037889307677
ADVANCED MICRO DEVICES INC,20250930,2025,Q3,10-Q,24369000000.0,1152000000.0,0.04727317493536871,2824000000.0,5761000000.0,0.23640691041897494,0.09540810045549673
ADVANCED MICRO DEVICES INC,20251231,2025,FY,10-K,34639000000.0,1638000000.0,0.04728773925344265,4335000000.0,8091000000.0,0.23358064609255463,0.12757296688703484
