provider,contract_type,quality_tier,price_discount_pct,commitment_term_years,upfront_option,capacity_reservation,flexibility_score,switching_cost_score,typical_customer_segment,annual_churn_pct,expansion_rate_pct,nrr_pct,date,source
aws,on_demand,low,0,0,none,none,1.0,1,startups/small,0.25,0.15,1.10,2025-01-01,aws_pricing
aws,savings_plan_1yr_no_upfront,medium,27,1,savings_plan,none,0.7,3,growing,0.15,0.25,1.25,2025-01-01,aws_pricing
aws,savings_plan_1yr_partial_upfront,medium,37,1,savings_plan,none,0.6,3,established,0.12,0.28,1.28,2025-01-01,aws_pricing
aws,savings_plan_1yr_all_upfront,high,42,1,savings_plan,none,0.5,4,enterprise,0.10,0.30,1.30,2025-01-01,aws_pricing
aws,savings_plan_3yr_no_upfront,high,50,3,savings_plan,none,0.4,4,enterprise,0.08,0.35,1.35,2025-01-01,aws_pricing
aws,savings_plan_3yr_partial_upfront,high,58,3,savings_plan,none,0.3,4,enterprise,0.06,0.38,1.38,2025-01-01,aws_pricing
aws,savings_plan_3yr_all_upfront,high,65,3,savings_plan,none,0.2,5,enterprise,0.05,0.40,1.40,2025-01-01,aws_pricing
aws,ri_1yr_no_upfront,medium,30,1,reserved,yes,0.5,3,established,0.12,0.25,1.25,2025-01-01,aws_pricing
aws,ri_1yr_partial_upfront,high,40,1,reserved,yes,0.4,4,enterprise,0.10,0.30,1.30,2025-01-01,aws_pricing
aws,ri_1yr_all_upfront,high,45,1,reserved,yes,0.3,4,enterprise,0.08,0.35,1.35,2025-01-01,aws_pricing
aws,ri_3yr_no_upfront,high,52,3,reserved,yes,0.3,4,enterprise,0.07,0.38,1.38,2025-01-01,aws_pricing
aws,ri_3yr_partial_upfront,high,60,3,reserved,yes,0.2,4,enterprise,0.05,0.40,1.40,2025-01-01,aws_pricing
aws,ri_3yr_all_upfront,high,68,3,reserved,yes,0.1,5,enterprise,0.04,0.42,1.42,2025-01-01,aws_pricing
aws,spot,low,90,0,none,none,1.0,1,batch/fault_tolerant,0.50,0.05,1.05,2025-01-01,aws_pricing
aws,enterprise_agreement,high,20,3,ea,yes,0.2,5,enterprise,0.03,0.45,1.45,2025-01-01,aws_ea
aws,marketplace_recurring,high,15,1,marketplace,yes,0.4,4,enterprise,0.05,0.30,1.30,2025-01-01,aws_marketplace
aws,professional_services,high,0,1,services,yes,0.2,5,enterprise,0.02,0.50,1.50,2025-01-01,aws_services
azure,pay_as_you_go,low,0,0,none,none,1.0,1,startups/small,0.25,0.15,1.10,2025-01-01,azure_pricing
azure,reserved_1yr_no_upfront,medium,32,1,reserved,yes,0.5,3,established,0.12,0.25,1.25,2025-01-01,azure_pricing
azure,reserved_1yr_all_upfront,high,42,1,reserved,yes,0.3,4,enterprise,0.08,0.35,1.35,2025-01-01,azure_pricing
azure,reserved_3yr_no_upfront,high,52,3,reserved,yes,0.3,4,enterprise,0.07,0.38,1.38,2025-01-01,azure_pricing
azure,reserved_3yr_all_upfront,high,65,3,reserved,yes,0.1,5,enterprise,0.04,0.42,1.42,2025-01-01,azure_pricing
azure,savings_plan_compute,high,55,3,savings_plan,none,0.3,4,enterprise,0.06,0.40,1.40,2025-01-01,azure_pricing
azure,savings_plan_compute_1yr,medium,30,1,savings_plan,none,0.5,3,established,0.12,0.25,1.25,2025-01-01,azure_pricing
azure,hybrid_benefit,high,0,1,license,yes,0.2,5,enterprise,0.05,0.30,1.30,2025-01-01,azure_pricing
azure,enterprise_agreement,high,18,3,ea,yes,0.2,5,enterprise,0.03,0.45,1.45,2025-01-01,azure_ea
gcp,on_demand,low,0,0,none,none,1.0,1,startups/small,0.25,0.15,1.10,2025-01-01,gcp_pricing
gcp,cud_1yr_resource,medium,37,1,reserved,yes,0.4,4,established,0.12,0.28,1.28,2025-01-01,gcp_pricing
gcp,cud_3yr_resource,high,55,3,reserved,yes,0.3,4,enterprise,0.07,0.38,1.38,2025-01-01,gcp_pricing
gcp,cud_1yr_spend,medium,25,1,spend,none,0.5,3,growing,0.15,0.25,1.25,2025-01-01,gcp_pricing
gcp,cud_3yr_spend,high,45,3,spend,none,0.4,4,enterprise,0.08,0.35,1.35,2025-01-01,gcp_pricing
gcp,sustained_use,medium,0,0,auto,none,0.8,2,steady,0.15,0.20,1.20,2025-01-01,gcp_pricing
gcp,committed_use_discount_sharing,high,50,3,spend,none,0.4,4,enterprise,0.06,0.40,1.40,2025-01-01,gcp_pricing
