cik,name,period,fy,fp,form,revenue,rd_expense,sm_expense,ga_expense,sbc,operating_income,net_income,ocf,capex,acquisitions,cash,short_term_investments,total_assets,total_liabilities,equity,deferred_rev_current,deferred_rev_noncurrent,rpo,debt_current,debt_noncurrent,lease_liab_current,lease_liab_noncurrent,capex_intensity,rd_intensity,sbc_pct_revenue,operating_margin,net_margin,ocf_to_capex,debt_to_assets,debt_to_equity,total_deferred_revenue,rpo_to_deferred_ratio,fcf_margin,total_debt,cash_and_investments,cash_to_debt
1018724,AMAZON COM INC,20221231,2022,FY,10-K,513983000000.0,,,11891000000.0,19621000000.0,24879000000.0,33364000000.0,66064000000.0,63645000000.0,,53888000000.0,,462675000000.0,,146043000000.0,13227000000.0,,,,67150000000.0,,,,,0.03817441432887858,0.04840432465665207,0.06491265275310662,,,,13227000000.0,,,67150000000.0,53888000000.0,0.8025018615040953
1018724,AMAZON COM INC,20230331,2023,Q1,10-Q,127358000000.0,,,3043000000.0,21119000000.0,6518000000.0,21413000000.0,54330000000.0,63922000000.0,,53888000000.0,,464378000000.0,,154526000000.0,14281000000.0,,,,67150000000.0,,,,,0.16582389798834782,0.05117856750263038,0.16813235132461252,,,,14281000000.0,,,67150000000.0,53888000000.0,0.8025018615040953
1018724,AMAZON COM INC,20230630,2023,Q2,10-Q,261741000000.0,,,6245000000.0,23037000000.0,12455000000.0,13072000000.0,61841000000.0,65358000000.0,,53888000000.0,,477607000000.0,,168602000000.0,14522000000.0,,,,67150000000.0,,,,,0.08801448760415831,0.04758520827841263,0.049942500410711355,,,,14522000000.0,,,67150000000.0,53888000000.0,0.8025018615040953
1018724,AMAZON COM INC,20230930,2023,Q3,10-Q,404824000000.0,,,8806000000.0,23310000000.0,23643000000.0,20079000000.0,71654000000.0,65988000000.0,,53888000000.0,,486883000000.0,,182973000000.0,14398000000.0,,,,67150000000.0,,,,,0.05758057822658735,0.05840315791553861,0.049599332055411734,,,,14398000000.0,,,67150000000.0,53888000000.0,0.8025018615040953
1018724,AMAZON COM INC,20231231,2023,FY,10-K,574785000000.0,,,11891000000.0,24023000000.0,36852000000.0,33364000000.0,84946000000.0,63645000000.0,,73387000000.0,,527854000000.0,,201875000000.0,15227000000.0,,,,67150000000.0,,,,,0.04179475803996277,0.0641144079960333,0.05804605200205294,,,,15227000000.0,,,67150000000.0,73387000000.0,1.0928816083395383
1018724,AMAZON COM INC,20240331,2024,Q1,10-Q,143313000000.0,,,3043000000.0,24236000000.0,15307000000.0,37684000000.0,99147000000.0,62901000000.0,,73387000000.0,,530969000000.0,,216661000000.0,15927000000.0,,,,58314000000.0,,,,,0.16911236245141753,0.10680817511321374,0.2629489299644833,,,,15927000000.0,,,58314000000.0,73387000000.0,1.2584799533559694
1018724,AMAZON COM INC,20240630,2024,Q2,10-Q,291290000000.0,,,6245000000.0,23831000000.0,29979000000.0,44419000000.0,107952000000.0,59612000000.0,,73387000000.0,,554818000000.0,,236447000000.0,16004000000.0,,,,58314000000.0,,,,,0.08181193999107418,0.10291805417281746,0.15249064506162244,,,,16004000000.0,,,58314000000.0,73387000000.0,1.2584799533559694
1018724,AMAZON COM INC,20240930,2024,Q3,10-Q,450167000000.0,,,8806000000.0,23335000000.0,47390000000.0,49868000000.0,112706000000.0,69753000000.0,,75091000000.0,,584626000000.0,,259151000000.0,16305000000.0,,,,58314000000.0,,,,,0.051836318521793025,0.10527204348608406,0.11077666732568135,,,,16305000000.0,,,58314000000.0,75091000000.0,1.287701066639229
1018724,AMAZON COM INC,20241231,2024,FY,10-K,637959000000.0,,,11891000000.0,24023000000.0,68593000000.0,59248000000.0,115877000000.0,82999000000.0,,78779000000.0,,624894000000.0,,285970000000.0,18103000000.0,,,,58314000000.0,,,,,0.037656024916961746,0.1075194487420038,0.09287117197186653,,,,18103000000.0,,,58314000000.0,78779000000.0,1.3509448845903214
1018724,AMAZON COM INC,20250331,2025,Q1,10-Q,155667000000.0,,,2742000000.0,24236000000.0,18405000000.0,65944000000.0,113903000000.0,93093000000.0,,78779000000.0,,643256000000.0,,305867000000.0,20599000000.0,,,,53374000000.0,,,,,0.1556913154361554,0.11823315153500742,0.42362221922437,,,,20599000000.0,,,53374000000.0,78779000000.0,1.4759808146288456
