module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Open_Source_Commoditization,open_source_model_count_2025,59,count,"WhatLLM 2025; Artificial Analysis 2026","https://whatllm.org","2026-07-14",High,"59 open source vs 35 proprietary models tracked"
Open_Source_Commoditization,open_source_share_pct,0.63,ratio,"WhatLLM 2025","https://whatllm.org","2026-07-14",High,"63% of models in dataset are open source"
Open_Source_Commoditization,quality_gap_open_vs_closed_2025_points,7,points,"WhatLLM 2025; Artificial Analysis 2026","https://whatllm.org","2026-07-14",High,"Best open (MiniMax-M2: 61) vs best closed (GPT-5: 68) = 7 points"
Open_Source_Commoditization,quality_gap_open_vs_closed_2024_points,15,points,"WhatLLM 2024; Artificial Analysis 2025","https://whatllm.org","2026-07-14",High,"Gap was 15-20 points in 2024, closing fast"
Open_Source_Commoditization,open_source_cost_per_m_tokens_usd,0.83,USD,"WhatLLM 2025; LLMCompare 2026","https://llmcompare.dev","2026-07-14",High,"Open source avg $0.83/M tokens (hosted) vs $6.03 proprietary"
Open_Source_Commoditization,proprietary_cost_per_m_tokens_usd,6.03,USD,"WhatLLM 2025; LLMCompare 2026","https://llmcompare.dev","2026-07-14",High,
Open_Source_Commoditization,cost_advantage_multiple,7.3,ratio,"WhatLLM 2025","https://whatllm.org","2026-07-14",High,"7.3x cheaper for open source (hosted API pricing)"
Open_Source_Commoditization,open_source_speed_tok_per_sec,179,count,"WhatLLM 2025; Artificial Analysis 2026","https://whatllm.org","2026-07-14",High,"Open source avg 179 tok/s vs 138 tok/s proprietary (30% faster)"
Open_Source_Commoditization,proprietary_speed_tok_per_sec,138,count,"WhatLLM 2025","https://whatllm.org","2026-07-14",High,
Open_Source_Commoditization,production_ready_open_models_2025,9,count,"WhatLLM 2025 (quality score 50+)","https://whatllm.org","2026-07-14",High,"9 open models score 50+ quality vs 19 proprietary"
Open_Source_Commoditization,chinese_lab_share_open_source_2025_pct,0.40,ratio,"WhatLLM 2025; ChatForest 2026","https://whatllm.org","2026-07-14",High,"DeepSeek, Qwen, GLM, Baichuan leading open source innovation"
Open_Source_Commoditization,chinese_model_cost_per_m_tokens_usd,0.27,USD,"ChinaAPI 2026; LLMCompare 2026; DeepSeek V3 pricing 2025","https://chinaapi.ai","2026-07-14",High,"DeepSeek V3: $0.27/M input (671B MoE competitive with GPT-4o)"
Open_Source_Commoditization,open_source_parity_timeline,2026_H2,date,"WhatLLM 2025; Artificial Analysis 2026","https://whatllm.org","2026-07-14",Medium,"Open source to reach parity with today's best proprietary by mid-2026"
Open_Source_Commoditization,self_hosted_cost_break_even_monthly_tokens_million,41,USD_M,"Amir Teymoori 2025; AWS g5.12xlarge $5.67/hr analysis","https://amirteymoori.com","2026-07-14",High,"Self-hosted cheaper after 41M tokens/month (Llama 3.1 70B on AWS)"
