module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Systems_Dynamics,ai_capex_to_revenue_ratio_hyperscalers,0.52,ratio,"American Century Investments 2026; Introl Blog 2026; Company 10-Ks 2025","https://www.americancentury.com","2026-07-14",High,"Meta 52%, AWS 57%, Microsoft 48%, Google 45% capex/revenue"
Systems_Dynamics,ai_capex_growth_rate_2025_yoy,0.73,ratio,"Introl Blog 2026; Company earnings 2025","https://blakecrosley.com","2026-07-14",High,"Big 5 hyperscaler capex: $256B (2024) -> $443B (2025) +73% YoY"
Systems_Dynamics,ai_capex_2026_projected_billion_usd,602,USD_B,"Introl Blog 2026; Goldman Sachs 2025; Company guidance 2025","https://blakecrosley.com","2026-07-14",High,"Big 5 projected $602B capex in 2026 (+36% YoY)"
Systems_Dynamics,ai_capex_ai_share_pct,0.75,ratio,"Introl Blog 2026; Company earnings calls 2025","https://blakecrosley.com","2026-07-14",High,"~75% of hyperscaler capex directed to AI infrastructure"
Systems_Dynamics,gpu_utilization_rate_enterprise_2025,0.45,ratio,"AgentMarketCap 2026; IDC FutureScape 2026; WinBuzzer 2026","https://agentmarketcap.ai","2026-07-14",Medium,"Enterprise GPU fleets at ~45% utilization; inference 85% of spend"
Systems_Dynamics,inference_share_ai_compute_spend_2025,0.85,ratio,"AgentMarketCap 2026; SemiAnalysis 2025","https://agentmarketcap.ai","2026-07-14",High,"Inference 85% of enterprise AI compute spend in 2025"
Systems_Dynamics,inference_demand_growth_vs_training_2026,118,ratio,"AgentMarketCap 2026; SemiAnalysis 2025","https://agentmarketcap.ai","2026-07-14",High,"Inference demand growing 118x faster than training by end 2026"
Systems_Dynamics,agent_token_growth_2027_vs_2025,1000,ratio,"IDC FutureScape 2026; AgentMarketCap 2026","https://agentmarketcap.ai","2026-07-14",High,"IDC: 1000x token/call growth from enterprise agents by 2027"
Systems_Dynamics,agent_usage_growth_2027_vs_2025,10,ratio,"IDC FutureScape 2026; AgentMarketCap 2026","https://agentmarketcap.ai","2026-07-14",High,"10x agent usage growth by 2027"
Systems_Dynamics,agent_adoption_vs_production_gap_pct,0.68,ratio,"IDC FutureScape 2026; ISG 2025","https://agentmarketcap.ai","2026-07-14",High,"79% adopted agents, only 11% in production (68pp gap)"
Systems_Dynamics,agent_production_pilot_failure_rate,0.88,ratio,"Forrester 2026; Anaconda 2026; ISG 2025","https://www.forrester.com","2026-07-14",High,"88% of agent pilots fail to reach production"
Systems_Dynamics,enterprise_ai_agent_roi_median_months,5.1,months,"BCG 2026; Forrester 2026; Digital Applied 2026","https://www.bcg.com","2026-07-14",Medium,"Median payback 5.1 months (SDR 3.4m, finance/ops 8.9m)"
Systems_Dynamics,enterprise_ai_budget_avg_million_usd,3.7,USD_M,"Gartner AI Survey 2026; Swfte 2026","https://www.gartner.com","2026-07-14",High,"Average enterprise AI budget $3.7M (1000+ employees)"
Systems_Dynamics,enterprise_ai_budget_growth_2027_pct,0.30,ratio,"Gartner AI Survey 2026; Swfte 2026","https://www.gartner.com","2026-07-14",High,"Budget expected to grow 30%+ in 2027"
Systems_Dynamics,enterprise_generative_ai_adoption_2025,0.65,ratio,"McKinsey 2025; Writer 2026; Swfte 2026","https://www.mckinsey.com","2026-07-14",High,"65% orgs regularly use gen AI (up from 33% in 2024)"
Systems_Dynamics,enterprise_ai_positive_roi_pct,0.63,ratio,"McKinsey 2026; Deloitte State of AI 2026","https://www.mckinsey.com","2026-07-14",High,"63% companies report positive ROI from AI investments"
Systems_Dynamics,ai_productivity_gain_customer_support_pct,0.15,ratio,"Brynjolfsson/Raymond/Quarles QJE 2025; NBER w31161","https://www.nber.org","2026-07-14",High,"15% productivity gain (issues resolved/hour) with AI assistant"
Systems_Dynamics,ai_productivity_gain_software_dev_pct,0.26,ratio,"Peng et al. 2023; METR 2025; arXiv 2605.04779","https://arxiv.org","2026-07-14",High,"26% productivity gain in software development tasks"
Systems_Dynamics,ai_productivity_gain_marketing_pct,0.50,ratio,"McKinsey 2025; PwC AI Productivity 2025","https://www.mckinsey.com","2026-07-14",Medium,"50% marketing output gain reported"
Systems_Dynamics,ai_productivity_gain_customer_service_novice_pct,0.35,ratio,"Brynjolfsson/Raymond/Quarles QJE 2025; Goldman Sachs 2026","https://www.nber.org","2026-07-14",High,"35% gain for novices; experts see small gains/declines"
Systems_Dynamics,ai_productivity_gain_radiology_pct,0.15,ratio,"Goldman Sachs 2026; NBER 2025","https://www.goldmansachs.com","2026-07-14",Medium,"Radiologists: AI augments, doesn't replace; employment growing"
Systems_Dynamics,ai_productivity_gain_legal_pct,0.10,ratio,"Goldman Sachs 2026; Deloitte 2026","https://www.goldmansachs.com","2026-07-14",Medium,"Legal: document review acceleration ~10% productivity"
Systems_Dynamics,workforce_ai_exposure_high_risk_job_loss_pct,0.16,ratio,"Goldman Sachs 2026; IMF 2025","https://www.goldmansachs.com","2026-07-14",Medium,"~16K jobs/month reduced payroll growth in high-exposure occupations"
Systems_Dynamics,ai_agent_enterprise_deployment_2025_pct,0.23,ratio,"McKinsey 2025; Digital Applied 2026","https://www.mckinsey.com","2026-07-14",High,"23% of orgs scaling AI agents in any business function"
Systems_Dynamics,ai_agent_customer_service_scaling_pct,0.15,ratio,"McKinsey 2025; Salesforce Agentic Enterprise Index H1 2025","https://www.mckinsey.com","2026-07-14",High,"15% scaling agent systems in customer service"
Systems_Dynamics,google_internal_agents_count,1302,count,"Programming Helper Tech Blog 2026; Google Cloud Next 2025","https://www.programming-helper.com","2026-07-14",Medium,"Google reported ~1,302 AI agents deployed internally"
Systems_Dynamics,salesforce_internal_agents_count,20000,count,"Salesforce Agentic Enterprise Index H1 2025; StartupHub AI 2025","https://www.salesforce.com","2026-07-14",Medium,"Salesforce reported ~20,000 Agentforce agents deployed internally"
Systems_Dynamics,microsoft_copilot_enterprise_users_millions,1,ratio,"Microsoft earnings 2025; Swfte 2026","https://www.microsoft.com","2026-07-14",High,"Microsoft 365 Copilot: millions of enterprise users"
Systems_Dynamics,enterprise_ai_adoption_rate_2025,0.88,ratio,"McKinsey 2025; Microsoft AI Diffusion 2025","https://www.mckinsey.com","2026-07-14",High,"88% of orgs using AI in at least one function"
Systems_Dynamics,enterprise_ai_scaling_rate_2025,0.23,ratio,"McKinsey 2025; Digital Applied 2026","https://www.mckinsey.com","2026-07-14",High,"Only 23% successfully scaling AI enterprise-wide"
