facility_id,facility_name,missing_field,impact,suggested_source
DC-00001,Stratos Hyperscale Campus,utility,Medium,State PUC dockets / utility IRP
DC-00001,Stratos Hyperscale Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00001,Stratos Hyperscale Campus,cooling_detail,High,Building permits / vendor case studies
DC-00001,Stratos Hyperscale Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00001,Stratos Hyperscale Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00001,Stratos Hyperscale Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00001,Stratos Hyperscale Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00001,Stratos Hyperscale Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00001,Stratos Hyperscale Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00001,Stratos Hyperscale Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00001,Stratos Hyperscale Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00001,Stratos Hyperscale Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00002,Monarch Compute Campus,utility,Medium,State PUC dockets / utility IRP
DC-00002,Monarch Compute Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00002,Monarch Compute Campus,cooling_detail,High,Building permits / vendor case studies
DC-00002,Monarch Compute Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00002,Monarch Compute Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00002,Monarch Compute Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00002,Monarch Compute Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00002,Monarch Compute Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00002,Monarch Compute Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00002,Monarch Compute Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00002,Monarch Compute Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00002,Monarch Compute Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00003,GW Ranch,utility,Medium,State PUC dockets / utility IRP
DC-00003,GW Ranch,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00003,GW Ranch,cooling_detail,High,Building permits / vendor case studies
DC-00003,GW Ranch,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00003,GW Ranch,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00003,GW Ranch,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00003,GW Ranch,latitude,Medium,Building permits / county GIS / OSM
DC-00003,GW Ranch,longitude,Medium,Building permits / county GIS / OSM
DC-00003,GW Ranch,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00003,GW Ranch,generation_mix,Medium,Utility IRP / sustainability reports
DC-00003,GW Ranch,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00003,GW Ranch,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00004,New Era Lea Data Center,utility,Medium,State PUC dockets / utility IRP
DC-00004,New Era Lea Data Center,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00004,New Era Lea Data Center,cooling_detail,High,Building permits / vendor case studies
DC-00004,New Era Lea Data Center,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00004,New Era Lea Data Center,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00004,New Era Lea Data Center,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00004,New Era Lea Data Center,latitude,Medium,Building permits / county GIS / OSM
DC-00004,New Era Lea Data Center,longitude,Medium,Building permits / county GIS / OSM
DC-00004,New Era Lea Data Center,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00004,New Era Lea Data Center,generation_mix,Medium,Utility IRP / sustainability reports
DC-00004,New Era Lea Data Center,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00004,New Era Lea Data Center,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00005,Data City Texas,utility,Medium,State PUC dockets / utility IRP
DC-00005,Data City Texas,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00005,Data City Texas,cooling_detail,High,Building permits / vendor case studies
DC-00005,Data City Texas,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00005,Data City Texas,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00005,Data City Texas,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00005,Data City Texas,latitude,Medium,Building permits / county GIS / OSM
DC-00005,Data City Texas,longitude,Medium,Building permits / county GIS / OSM
DC-00005,Data City Texas,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00005,Data City Texas,generation_mix,Medium,Utility IRP / sustainability reports
DC-00005,Data City Texas,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00005,Data City Texas,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00006,Sailfish Comanche Circle,utility,Medium,State PUC dockets / utility IRP
DC-00006,Sailfish Comanche Circle,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00006,Sailfish Comanche Circle,cooling_detail,High,Building permits / vendor case studies
DC-00006,Sailfish Comanche Circle,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00006,Sailfish Comanche Circle,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00006,Sailfish Comanche Circle,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00006,Sailfish Comanche Circle,latitude,Medium,Building permits / county GIS / OSM
DC-00006,Sailfish Comanche Circle,longitude,Medium,Building permits / county GIS / OSM
DC-00006,Sailfish Comanche Circle,voltage_kv,Medium,Utility interconnection agreement / FERC filings
