hyperscaler_category,facility_name,operator,tenant,city,state_province,country,status,capacity_mw,capacity_category,expected_online_date,project_cost_usd,cooling_type,power_source,purpose,source_url
Other/Unclassified,Stratos Hyperscale Campus,Bitzero Blockchain Inc.,,,Utah,United States,Planned,9000,Mega campus (>1,,,,,,Largest announced US project
Other/Unclassified,Monarch Compute Campus,Nscale Ltd.,2027,,West Virginia,United States,Planned,8000,Mega campus (>1,,,,,,$1.6B+ investment
Other/Unclassified,GW Ranch,Pacifico Energy,2027,,Texas,United States,Planned,7650,Mega campus (>1,,,,,,
Other/Unclassified,New Era Lea Data Center,New Era Energy & Digital,2028,,New Mexico,United States,Planned,7000,Mega campus (>1,,,,,,
Other/Unclassified,Data City Texas,Energy Abundance,2027,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,
Other/Unclassified,Sailfish Comanche Circle,Sailfish Digital Ventures,2028,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,
Other/Unclassified,GridFree AI South Dallas One,GridFree AI,2026,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,
Other/Unclassified,Fermi Phase 3 (SMR/Expansion),Fermi America,2036,,Texas,United States,Planned,4600,Mega campus (>1,,,,,,Nuclear SMR
Other/Unclassified,Homer City Energy Campus,Homer City Redevelopment,2027,,Pennsylvania,United States,Planned,4500,Mega campus (>1,,,,,,Repurposed coal plant
Other/Unclassified,Fermi Phase 2 (Nuclear),Fermi America,2032,,Texas,United States,Planned,4400,Mega campus (>1,,,,,,Nuclear
Other/Unclassified,High Performance Compute Campus,Joule Capital Partners,2026,,Utah,United States,Planned,4000,Mega campus (>1,,,,,,
Other/Unclassified,STAK Energy North Slopes,STAK Energy,,,Alaska,United States,Planned,3000,Mega campus (>1,,,,,,Natural gas
Other/Unclassified,Vermaland La Osa Campus,Vermaland,,,Arizona,United States,Planned,3000,Mega campus (>1,,,,,,$33B project
Other/Unclassified,Hanover Technology Park,Tract,,,Virginia,United States,Planned,2400,Mega campus (>1,,,,,,
Other/Unclassified,Project Marvel,Logistic Land Investments LLC,2032,Bessemer,Alabama,United States,Proposed,1200,Mega campus (>1,$14 billion,1600,,,,"Community opposition, NDAs signed"
Other/Unclassified,Project Leo,Avaio Digital,2027,Little Rock,Arkansas,United States,Proposed,150-1000,Hyperscale (100-999 MW),$6 billion,,,,,"Natural gas, Entergy contract"
Other/Unclassified,Clarksville Data Center,Serverfarm,,Clarksville,Arkansas,United States,Proposed,,Hyperscale (100-999 MW),,$8 billion,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/
Other/Unclassified,Wilsonville Data Center,Northpoint Development,,Wilsonville,Alabama,United States,Proposed,1008,Mega campus (>1,,687,,,,Community opposition
Other/Unclassified,Vermaland Pinal County,Vermaland LLC,$33 billion,Red Rock,Arizona,United States,Proposed,3000,Mega campus (>1,,,,,,AI/Hyperscale
Other/Unclassified,Project Blue Marana,Beale Infrastructure,,Marana,Arizona,United States,Proposed,250-600,Hyperscale (100-999 MW),,,,,2027,"Air cooled, 610 acres"
Other/Unclassified,Project Blue Tucson,Beale Infrastructure,,Tucson,Arizona,United States,Approved/Permitted/Under construction,,Unknown,$3.6 billion,290,,,AI/Hyperscale,https://news.azpm.org/p/azpmnews/2026/5/28/229919-arizona-water-officials-approve-wells-tied-to-project-blue-data-center/
Other/Unclassified,Compass Goodyear,Compass Data Centers,,Goodyear,Arizona,United States,Approved/Permitted/Under construction,,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/compass-datacenters-starts-build-hyperscale-arizona-campus/
