name,period,fy,fp,revenue,rpo,total_deferred_revenue,deferred_rev_current,deferred_rev_noncurrent,rpo_to_deferred_ratio
ALPHABET INC.,20221231,2022,FY,282836000000.0,,4507000000.0,3908000000.0,599000000.0,
ALPHABET INC.,20230331,2023,Q1,69787000000.0,,4518000000.0,3908000000.0,610000000.0,
ALPHABET INC.,20230630,2023,Q2,144391000000.0,,4575000000.0,3908000000.0,667000000.0,
ALPHABET INC.,20230930,2023,Q3,221084000000.0,,5187000000.0,4303000000.0,884000000.0,
ALPHABET INC.,20231231,2023,FY,307394000000.0,,5048000000.0,4137000000.0,911000000.0,
ALPHABET INC.,20240331,2024,Q1,80539000000.0,,5058000000.0,4137000000.0,921000000.0,
ALPHABET INC.,20240630,2024,Q2,165281000000.0,,5236000000.0,4251000000.0,985000000.0,
ALPHABET INC.,20240930,2024,Q3,253549000000.0,,5911000000.0,4896000000.0,1015000000.0,
ALPHABET INC.,20241231,2024,FY,350018000000.0,,5036000000.0,5036000000.0,,
ALPHABET INC.,20250331,2025,Q1,90234000000.0,,5036000000.0,5036000000.0,,
ALPHABET INC.,20250630,2025,Q2,,,5036000000.0,5036000000.0,,
ALPHABET INC.,20250930,2025,Q3,,,5542000000.0,5542000000.0,,
ALPHABET INC.,20251231,2025,FY,,,6578000000.0,6578000000.0,,
AMAZON COM INC,20221231,2022,FY,513983000000.0,,13227000000.0,13227000000.0,,
AMAZON COM INC,20230331,2023,Q1,127358000000.0,,14281000000.0,14281000000.0,,
AMAZON COM INC,20230630,2023,Q2,261741000000.0,,14522000000.0,14522000000.0,,
AMAZON COM INC,20230930,2023,Q3,404824000000.0,,14398000000.0,14398000000.0,,
AMAZON COM INC,20231231,2023,FY,574785000000.0,,15227000000.0,15227000000.0,,
AMAZON COM INC,20240331,2024,Q1,143313000000.0,,15927000000.0,15927000000.0,,
AMAZON COM INC,20240630,2024,Q2,291290000000.0,,16004000000.0,16004000000.0,,
AMAZON COM INC,20240930,2024,Q3,450167000000.0,,16305000000.0,16305000000.0,,
AMAZON COM INC,20241231,2024,FY,637959000000.0,,18103000000.0,18103000000.0,,
AMAZON COM INC,20250331,2025,Q1,155667000000.0,,20599000000.0,20599000000.0,,
AMAZON COM INC,20250630,2025,Q2,323369000000.0,,21662000000.0,21662000000.0,,
AMAZON COM INC,20250930,2025,Q3,503538000000.0,,21113000000.0,21113000000.0,,
AMAZON COM INC,20251231,2025,FY,716924000000.0,,20576000000.0,20576000000.0,,
APPLIED MATERIALS INC /DE,20230131,2023,Q1,6739000000.0,,3142000000.0,3142000000.0,,
APPLIED MATERIALS INC /DE,20230430,2023,Q2,13369000000.0,,3373000000.0,3373000000.0,,
APPLIED MATERIALS INC /DE,20230731,2023,Q3,19794000000.0,,3497000000.0,3497000000.0,,
APPLIED MATERIALS INC /DE,20231031,2023,FY,26517000000.0,,3142000000.0,3142000000.0,,
APPLIED MATERIALS INC /DE,20240131,2024,Q1,6739000000.0,,3147000000.0,3147000000.0,,
