module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Agentic_Liability_Compliance,compliance_cost_multiplier_low_risk,1.0,ratio,"Alation AI Governance Survey 2025; NAIC Model Bulletin 2025","https://www.alation.com","2026-07-14",Medium,"Internal assistant, no regulatory exposure"
Agentic_Liability_Compliance,compliance_cost_multiplier_medium_risk,1.5,ratio,"Alation AI Governance Survey 2025; FurtherAI Insurance Guide 2026","https://www.alation.com","2026-07-14",Medium,"Customer-facing agent, PII handling"
Agentic_Liability_Compliance,compliance_cost_multiplier_high_risk,3.0,ratio,"Alation AI Governance Survey 2025; FurtherAI Insurance Guide 2026; Databricks Insurance Governance 2025","https://www.furtherai.com","2026-07-14",Medium,"Autonomous decision-making in regulated domain (credit, claims, medical)"
Agentic_Liability_Compliance,banking_compliance_cost_pct_noninterest_expense,0.04,percent,"Fourthline Bank Compliance Trends 2025; St. Louis Fed Regional Economist 2016","https://www.fourthline.com","2026-07-14",High,"2.9-8.7% of non-interest expense per Fed study"
Agentic_Liability_Compliance,insurance_ai_governance_adoption_rate,0.88,percent,"NAIC Private Passenger Auto Survey 2025; FurtherAI Insurance Governance 2026","https://content.naic.org","2026-07-14",High,"88% of insurers use/plan AI; 92% have formal governance frameworks"
Agentic_Liability_Compliance,healthcare_ai_governance_cost_per_model_usd,50000,USD,"Databricks Insurance Governance 2025; GAO-25-107197 Financial Services AI Oversight 2025","https://www.databricks.com","2026-07-14",Medium,"Model validation, bias testing, audit trails, monitoring"
Agentic_Liability_Compliance,eu_ai_act_compliance_cost_per_model_usd,200000,USD,"EU Commission Impact Assessment 2023; Netguru EU AI Act Guide 2026","https://www.netguru.com","2026-07-14",Medium,"High-risk AI system: conformity assessment, risk management, data governance"
Agentic_Liability_Compliance,colorado_ai_act_compliance_cost_per_model_usd,7model_usd,75000,USD,"Colorado SB21-169; Baker Tilly Insurance AI Governance 2026","https://www.bakertilly.com","2026-07-14",Medium,"Bias testing, transparency, documentation for insurance algorithms"
Agentic_Liability_Compliance,ny_dfs_ai_governance_cost_permodel_usd,100000,USD,"NYDFS Insurance Circular Letter 2025; Skadden AI Regulation Tracker 2026","https://www.dfs.ny.gov","2026-07-14",Medium,"Transparency over underwriting models using inferred attributes"
Agentic_Liability_Compliance,governance_framework_setup_cost_enterprise_usd,2000000,USD,"FurtherAI Insurance Guide 2026; Databricks Unity Catalog Pricing 2025","https://www.furtherai.com","2026-07-14",Medium,"Model inventory, oversight structure, bias testing, transparency, monitoring"
Agentic_Liability_Compliance,ongoing_annual_compliance_cost_pct_capex,0.05,percent,"Alation AI Governance 2025; NAIC Model Bulletin Implementation Survey 2025","https://www.alation.com","2026-07-14",Low,"5% of AI capex annually for compliance maintenance"
Agentic_Liability_Compliance,model_risk_management_staff_per_model,0.5,FTE,"GAO-25-107197; Fourthline Bank Compliance 2025","https://www.gao.gov","2026-07-14",Medium,"Dedicated model validation, monitoring, audit personnel"
Agentic_Liability_Compliance,third_party_vendor_ai_oversight_cost_usd,100000,USD,"FurtherAI Insurance 2026; GAO-25-107197","https://www.furtherai.com","2026-07-14",Medium,"Vendor model validation, contract review, ongoing monitoring"
Agentic_Liability_Compliance,regulatory_fine_risk_pct_revenue,0.02,percent,"EU AI Act Article 71; Colorado SB21-169; NYDFS Circular Letter","https://eur-lex.europa.eu","2026-07-14",Medium,"Up to 2% global revenue for high-risk AI violations"
Agentic_Liability_Compliance,audit_frequency_regulated_ai_annual,1,count,"NAIC Model Bulletin; EU AI Act; Colorado SB21-169","https://content.naic.org","2026-07-14",High,"Annual bias audits, model validation, governance review required"
Agentic_Liability_Compliance,explainability_documentation_cost_permodel_usd,25000,USD,"Alation AI Governance 2025; FurtherAI Insurance 2026","https://www.alation.com","2026-07-14",Medium,"Model cards, decision logs, feature importance, drift monitoring"
