name,period,fy,fp,form,revenue,capex,capex_intensity,ocf,ocf_to_capex,rd_expense,rd_intensity,sbc,sbc_pct_revenue,operating_margin,net_margin,fcf_margin
ALPHABET INC.,20221231,2022,FY,10-K,282836000000.0,31485000000.0,0.11131892686928113,91652000000.0,2.9109734794346513,39500000000.0,0.13965690364734334,19362000000.0,0.06845663211189523,0.32476417429181575,0.2688236292409736,0.2127275170063217
ALPHABET INC.,20230331,2023,Q1,10-Q,69787000000.0,9786000000.0,0.14022668978463038,25106000000.0,2.565501737175557,11468000000.0,0.1643285998824996,5284000000.0,0.07571610758450714,0.3148580681215699,0.23551664350093857,0.21952512645621677
ALPHABET INC.,20230630,2023,Q2,10-Q,144391000000.0,16614000000.0,0.11506257315206626,52175000000.0,3.1404237390152883,22056000000.0,0.1527519028194278,11058000000.0,0.07658372059200366,0.3129765705618771,0.2314479434313773,0.2462826630468658
ALPHABET INC.,20230930,2023,Q3,10-Q,221084000000.0,23890000000.0,0.10805847551157026,82831000000.0,3.467182921724571,33314000000.0,0.15068480758444755,16801000000.0,0.07599373993595195,0.31267753433084255,0.24021638834108303,0.2666000253297389
ALPHABET INC.,20231231,2023,FY,10-K,307394000000.0,32251000000.0,0.10491746748472644,101746000000.0,3.1548169049021735,45427000000.0,0.14778102370247956,22460000000.0,0.07306583732929074,0.311840829684379,0.24734705296785234,0.22607793255561268
ALPHABET INC.,20240331,2024,Q1,10-Q,80539000000.0,12012000000.0,0.1491451346552602,28848000000.0,2.4015984015984015,11903000000.0,0.1477917530637331,5284000000.0,0.0656079663268727,0.3463787730167993,0.2937955524652653,0.20904158233899106
ALPHABET INC.,20240630,2024,Q2,10-Q,165281000000.0,25198000000.0,0.1524555151529819,55488000000.0,2.202079530121438,23763000000.0,0.14377333147790733,11129000000.0,0.06733381332397553,0.34832194868133665,0.28606433891372873,0.18326365401951827
ALPHABET INC.,20240930,2024,Q3,10-Q,253549000000.0,38259000000.0,0.15089391005288919,86186000000.0,2.2526987114143076,36210000000.0,0.14281263187786186,16975000000.0,0.0669495837096577,0.34875704498933147,0.29020820433131267,0.18902460668352075
ALPHABET INC.,20241231,2024,FY,10-K,350018000000.0,52535000000.0,0.15009228096840735,125299000000.0,2.385057580660512,49326000000.0,0.14092418104211785,22785000000.0,0.065096652172174,0.34644789696529893,0.28603671811164,0.20788645155392008
ALPHABET INC.,20250331,2025,Q1,10-Q,90234000000.0,17197000000.0,0.19058226389165947,36150000000.0,2.1021108332848755,13556000000.0,0.15023162001019572,5516000000.0,0.061129951016246645,0.3621916350821198,0.38278254316554733,0.2100427776669548
ALPHABET INC.,20250630,2025,Q2,10-Q,,39643000000.0,,63897000000.0,1.611810407890422,27364000000.0,,11514000000.0,,,,
ALPHABET INC.,20250930,2025,Q3,10-Q,,63596000000.0,,112311000000.0,1.7660072960563558,42515000000.0,,17882000000.0,,,,
ALPHABET INC.,20251231,2025,FY,10-K,,91447000000.0,,164713000000.0,1.8011853860706202,61087000000.0,,24953000000.0,,,,
AMAZON COM INC,20221231,2022,FY,10-K,513983000000.0,63645000000.0,,66064000000.0,,,,19621000000.0,0.03817441432887858,0.04840432465665207,0.06491265275310662,
AMAZON COM INC,20230331,2023,Q1,10-Q,127358000000.0,63922000000.0,,54330000000.0,,,,21119000000.0,0.16582389798834782,0.05117856750263038,0.16813235132461252,
AMAZON COM INC,20230630,2023,Q2,10-Q,261741000000.0,65358000000.0,,61841000000.0,,,,23037000000.0,0.08801448760415831,0.04758520827841263,0.049942500410711355,
AMAZON COM INC,20230930,2023,Q3,10-Q,404824000000.0,65988000000.0,,71654000000.0,,,,23310000000.0,0.05758057822658735,0.05840315791553861,0.049599332055411734,
AMAZON COM INC,20231231,2023,FY,10-K,574785000000.0,63645000000.0,,84946000000.0,,,,24023000000.0,0.04179475803996277,0.0641144079960333,0.05804605200205294,
AMAZON COM INC,20240331,2024,Q1,10-Q,143313000000.0,62901000000.0,,99147000000.0,,,,24236000000.0,0.16911236245141753,0.10680817511321374,0.2629489299644833,
AMAZON COM INC,20240630,2024,Q2,10-Q,291290000000.0,59612000000.0,,107952000000.0,,,,23831000000.0,0.08181193999107418,0.10291805417281746,0.15249064506162244,
AMAZON COM INC,20240930,2024,Q3,10-Q,450167000000.0,69753000000.0,,112706000000.0,,,,23335000000.0,0.051836318521793025,0.10527204348608406,0.11077666732568135,
AMAZON COM INC,20241231,2024,FY,10-K,637959000000.0,82999000000.0,,115877000000.0,,,,24023000000.0,0.037656024916961746,0.1075194487420038,0.09287117197186653,
AMAZON COM INC,20250331,2025,Q1,10-Q,155667000000.0,93093000000.0,,113903000000.0,,,,24236000000.0,0.1556913154361554,0.11823315153500742,0.42362221922437,
AMAZON COM INC,20250630,2025,Q2,10-Q,323369000000.0,107656000000.0,,121137000000.0,,,,23831000000.0,0.07369599435938509,0.11620161487341087,0.2183975582074967,
AMAZON COM INC,20250930,2025,Q3,10-Q,503538000000.0,120131000000.0,,130691000000.0,,,,23335000000.0,0.0463420834177361,0.10922313708200772,0.15188923179581282,
AMAZON COM INC,20251231,2025,FY,10-K,716924000000.0,131819000000.0,,139514000000.0,,,,24023000000.0,0.03350843325094431,0.11155296795755199,0.10833784334183261,
"META PLATFORMS, INC.",20221231,2022,FY,10-K,117929000000.0,31431000000.0,0.2665247733805934,57683000000.0,1.8352263688714963,35338000000.0,0.29965487708706084,11992000000.0,0.1016883039795131,0.4828837690474777,0.3338449405998525,0.22260851868497147
"META PLATFORMS, INC.",20230331,2023,Q1,10-Q,28645000000.0,6842000000.0,0.23885494850759295,14076000000.0,2.0572931891259865,9381000000.0,0.327491708849712,3051000000.0,0.10651073485774132,0.4009076627683714,0.26060394484203175,0.25253971024611627
"META PLATFORMS, INC.",20230630,2023,Q2,10-Q,60645000000.0,13058000000.0,0.21531865776238768,31307000000.0,2.3975340787256854,18725000000.0,0.30876411905350815,7111000000.0,0.11725616291532691,0.40153351471679444,0.23335806744166873,0.3009151620084096
"META PLATFORMS, INC.",20230930,2023,Q3,10-Q,94791000000.0,22388000000.0,0.2361827599666635,51709000000.0,2.3096748257995356,27966000000.0,0.2950280089881951,10603000000.0,0.11185661085968077,0.44140266480995033,0.2645926301020139,0.3093226150161935
