name,period,fy,fp,form,revenue,rd_expense,rd_intensity,capex,capex_intensity,sbc,sbc_pct_revenue,operating_margin,total_debt,cash_and_investments
ADVANCED MICRO DEVICES INC,20221231,2022,FY,10-K,23601000000.0,5005000000.0,0.21206728528452184,450000000.0,0.019066988686920045,1081000000.0,0.045803143934579044,0.21096563704927757,2467000000.0,5908000000.0
ADVANCED MICRO DEVICES INC,20230331,2023,Q1,10-Q,5887000000.0,1411000000.0,0.2396806522846951,158000000.0,0.026838797350093428,309000000.0,0.0524885340580941,0.16154238151860031,2467000000.0,6949000000.0
ADVANCED MICRO DEVICES INC,20230630,2023,Q2,10-Q,12437000000.0,2854000000.0,0.22947656187183404,283000000.0,0.02275468360537107,657000000.0,0.05282624427112648,0.12503015196590817,2467000000.0,7279000000.0
ADVANCED MICRO DEVICES INC,20230930,2023,Q3,10-Q,18002000000.0,4361000000.0,0.24225086101544274,407000000.0,0.022608599044550606,1010000000.0,0.05610487723586268,0.12037551383179647,2467000000.0,7059000000.0
ADVANCED MICRO DEVICES INC,20231231,2023,FY,10-K,23601000000.0,5872000000.0,0.24880301682132114,546000000.0,0.023134612940129657,1384000000.0,0.058641582983771874,0.21096563704927757,2467000000.0,6675000000.0
ADVANCED MICRO DEVICES INC,20240331,2024,Q1,10-Q,5473000000.0,1525000000.0,0.27864059930568247,158000000.0,0.028868993239539557,371000000.0,0.06778731956879225,0.14580668737438335,1718000000.0,6035000000.0
ADVANCED MICRO DEVICES INC,20240630,2024,Q2,10-Q,11308000000.0,3108000000.0,0.2748496639547223,296000000.0,0.026176158471878316,717000000.0,0.0634064379200566,0.13751326494517155,1719000000.0,5953000000.0
ADVANCED MICRO DEVICES INC,20240930,2024,Q3,10-Q,18127000000.0,4744000000.0,0.26170905279417445,428000000.0,0.02361118773100899,1068000000.0,0.05891763667457384,0.1282617090527942,1720000000.0,5773000000.0
ADVANCED MICRO DEVICES INC,20241231,2024,FY,10-K,25785000000.0,6456000000.0,0.2503781268179174,636000000.0,0.024665503199534613,1407000000.0,0.05456660849331006,0.19309676168314913,1721000000.0,6675000000.0
ADVANCED MICRO DEVICES INC,20250331,2025,Q1,10-Q,7438000000.0,1728000000.0,0.23232051626781391,212000000.0,0.02850228556063458,371000000.0,0.04987899973111051,0.1253025006722237,3217000000.0,7394000000.0
ADVANCED MICRO DEVICES INC,20250630,2025,Q2,10-Q,15123000000.0,3622000000.0,0.2395027441645176,494000000.0,0.03266547642663493,733000000.0,0.04846921907029029,0.0849037889307677,3218000000.0,5867000000.0
ADVANCED MICRO DEVICES INC,20250930,2025,Q3,10-Q,24369000000.0,5761000000.0,0.23640691041897494,752000000.0,0.030858878082810126,1152000000.0,0.04727317493536871,0.09540810045549673,3227000000.0,7243000000.0
ADVANCED MICRO DEVICES INC,20251231,2025,FY,10-K,34639000000.0,8091000000.0,0.23358064609255463,974000000.0,0.02811859464765149,1638000000.0,0.04728773925344265,0.12757296688703484,2348000000.0,10552000000.0
APPLIED MATERIALS INC /DE,20230131,2023,Q1,10-Q,6739000000.0,771000000.0,0.11440866597418015,287000000.0,0.042587921056536575,148000000.0,0.02196171538803977,0.29321857842409854,5458000000.0,5850000000.0
APPLIED MATERIALS INC /DE,20230430,2023,Q2,10-Q,13369000000.0,1546000000.0,0.11564066123120652,542000000.0,0.04054155135013838,261000000.0,0.019522776572668113,0.290298451641858,5459000000.0,5174000000.0
APPLIED MATERIALS INC /DE,20230731,2023,Q3,10-Q,19794000000.0,2313000000.0,0.11685359199757503,797000000.0,0.040264726684853994,375000000.0,0.01894513488936041,0.2927149641305446,5460000000.0,6611000000.0
APPLIED MATERIALS INC /DE,20231031,2023,FY,10-K,26517000000.0,3102000000.0,0.11698155899988687,1106000000.0,0.04170909228042388,490000000.0,0.01847871176980805,0.2936983821699287,5461000000.0,6869000000.0
APPLIED MATERIALS INC /DE,20240131,2024,Q1,10-Q,6739000000.0,771000000.0,0.11440866597418015,287000000.0,0.042587921056536575,170000000.0,0.025226294702478114,0.2923282386110699,5462000000.0,7591000000.0
APPLIED MATERIALS INC /DE,20240430,2024,Q2,10-Q,13369000000.0,1546000000.0,0.11564066123120652,542000000.0,0.04054155135013838,304000000.0,0.022739172712992743,0.290298451641858,5463000000.0,7822000000.0
APPLIED MATERIALS INC /DE,20240731,2024,Q3,10-Q,20131000000.0,2375000000.0,0.11797724901892603,797000000.0,0.03959068103919328,436000000.0,0.021658139188316525,0.289156028016492,6158000000.0,9103000000.0
APPLIED MATERIALS INC /DE,20241031,2024,FY,10-K,27176000000.0,3233000000.0,0.11896526346776568,1190000000.0,0.04378863703267589,577000000.0,0.02123196938475125,0.2894833676773624,5461000000.0,9471000000.0
APPLIED MATERIALS INC /DE,20250131,2025,Q1,10-Q,7166000000.0,859000000.0,0.11987161596427574,381000000.0,0.053167736533631035,195000000.0,0.027211833658945018,0.3035166061959252,5461000000.0,9971000000.0
APPLIED MATERIALS INC /DE,20250430,2025,Q2,10-Q,14266000000.0,1752000000.0,0.12280947707836815,891000000.0,0.06245618954156736,354000000.0,0.02481424365624562,0.30450021029020047,5462000000.0,9471000000.0
APPLIED MATERIALS INC /DE,20250731,2025,Q3,10-Q,21568000000.0,2653000000.0,0.12300630563798219,1475000000.0,0.068388353115727,512000000.0,0.02373887240356083,0.3049425074183976,5463000000.0,9918000000.0
APPLIED MATERIALS INC /DE,20251031,2025,FY,10-K,28368000000.0,3570000000.0,0.1258460236886633,2260000000.0,0.07966723068245911,668000000.0,0.023547659334461363,0.2921954314720812,6455000000.0,9471000000.0
APPLIED MATERIALS INC /DE,20260131,2026,Q1,10-Q,7166000000.0,928000000.0,0.12950041864359477,646000000.0,0.09014792073681273,207000000.0,0.02888640803795702,0.3035166061959252,6455000000.0,8573000000.0
