module,metric,value,unit,source,source_url,date_accessed,confidence,notes
AI_Adoption_Diffusion,consumer_ai_users_global_billion,1.75,USD_B,"Menlo Ventures Consumer AI 2025; Stanford AI Index 2025","https://menlovc.com","2026-07-14",High,"1.7-1.8B global AI users (Menlo/Morning Consult 5,031 US adults)"
AI_Adoption_Diffusion,us_adult_ai_usage_6month_pct,0.61,ratio,"Menlo Ventures 2025 (5,031 US adults nationally representative)","https://menlovc.com","2026-07-14",High,"61% US adults used AI in past 6 months (Morning Consult Apr 2025)"
AI_Adoption_Diffusion,enterprise_ai_adoption_pct,0.88,ratio,"McKinsey State of AI 2025; Microsoft AI Diffusion 2025","https://www.mckinsey.com","2026-07-14",High,"88% orgs using AI in at least one function (1,993 orgs, 105 countries)"
AI_Adoption_Diffusion,enterprise_genai_adoption_pct,0.71,ratio,"McKinsey State of AI 2025; Wharton 2025","https://www.mckinsey.com","2026-07-14",High,"71% orgs using gen AI in at least one function (up from 33% in 2023)"
AI_Adoption_Diffusion,enterprise_ai_scaling_rate_pct,0.23,ratio,"McKinsey State of AI 2025; Digital Applied 2026","https://www.mckinsey.com","2026-07-14",High,"Only 23% successfully scaling AI enterprise-wide"
AI_Adoption_Diffusion,enterprise_ai_pilot_purgatory_pct,0.62,ratio,"McKinsey State of AI 2025; Digital Applied 2026","https://www.mckinsey.com","2026-07-14",High,"62% stuck in experimentation (32%) or piloting (30%)"
AI_Adoption_Diffusion,enterprise_ai_agent_adoption_pct,0.23,ratio,"McKinsey State of AI 2025; Digital Applied 2026","https://www.mckinsey.com","2026-07-14",High,"23% scaling AI agents in any business function"
AI_Adoption_Diffusion,enterprise_ai_agent_customer_service_scaling_pct,0.15,ratio,"McKinsey State of AI 2025; Salesforce Agentic Enterprise Index H1 2025","https://www.mckinsey.com","2026-07-14",High,"15% scaling agent systems in customer service (leading function)"
AI_Adoption_Diffusion,enterprise_ai_budget_average_million_usd,3.7,USD_M,"Gartner AI Survey 2026; Swfte 2026","https://www.gartner.com","2026-07-14",High,"Average enterprise AI budget $3.7M (1000+ employees)"
AI_Adoption_Diffusion,enterprise_ai_budget_growth_2027_pct,0.30,ratio,"Gartner AI Survey 2026; Swfte 2026","https://www.gartner.com","2026-07-14",High,"Budget expected to grow 30%+ in 2027"
AI_Adoption_Diffusion,enterprise_ai_median_time_to_roi_months,14,months,"Gartner AI Survey 2026; Swfte 2026","https://www.gartner.com","2026-07-14",High,"Median time to ROI dropped from 24 months (2024) to 14 months"
AI_Adoption_Diffusion,enterprise_ai_positive_roi_pct,0.63,ratio,"McKinsey 2026; Deloitte State of AI 2026","https://www.mckinsey.com","2026-07-14",High,"63% of companies report positive ROI from AI investments"
AI_Adoption_Diffusion,enterprise_ai_spending_2025_billion_usd,37,USD_B,"Menlo Ventures Enterprise AI 2025","https://menlovc.com","2026-07-14",High,"$37B enterprise gen AI spend in 2025 (3.2x YoY from $11.5B)"
AI_Adoption_Diffusion,enterprise_ai_application_spend_share_pct,0.51,ratio,"Menlo Ventures Enterprise AI 2025","https://menlovc.com","2026-07-14",High,"51% of enterprise AI spend on applications (vs infrastructure)"
AI_Adoption_Diffusion,enterprise_ai_vertical_spend_2025_billion_usd,3.5,USD_B,"Menlo Ventures Enterprise AI 2025","https://menlovc.com","2026-07-14",High,"$3.5B vertical AI spend (healthcare $1.5B = 43%)"
AI_Adoption_Diffusion,enterprise_ai_horizontal_copilot_spend_2025_billion_usd,8.4,USD_B,"Menlo Ventures Enterprise AI 2025","https://menlovc.com","2026-07-14",High,"$8.4B horizontal AI (copilots 86% = $7.2B)"
AI_Adoption_Diffusion,enterprise_ai_plg_share_pct,0.27,ratio,"Menlo Ventures Enterprise AI 2025","https://menlovc.com","2026-07-14",High,"27% of AI app spend via product-led growth (vs 7% traditional SaaS)"
AI_Adoption_Diffusion,enterprise_ai_shadow_ai_pct,0.40,ratio,"Menlo Ventures Enterprise AI 2025","https://menlovc.com","2026-07-14",High,"~40% of AI app spend via shadow AI (personal cards, PLG)"
AI_Adoption_Diffusion,enterprise_ai_build_vs_buy_2024_build_pct,0.47,ratio,"Menlo Ventures Enterprise AI 2024","https://menlovc.com","2026-07-14",High,"47% built internally in 2024 (down from earlier years)"
AI_Adoption_Diffusion,enterprise_ai_build_vs_buy_2025_buy_pct,0.65,ratio,"Menlo Ventures Enterprise AI 2025","https://menlovc.com","2026-07-14",High,"Shift to buying: 65% purchase vs 35% build in 2025"
AI_Adoption_Diffusion,enterprise_ai_adoption_by_industry_tech_pct,0.88,ratio,"Swfte 2026; Vention 2026","https://www.swfte.com","2026-07-14",High,"Tech: 88% adoption (code gen, ROI 8mo)"
AI_Adoption_Diffusion,enterprise_ai_adoption_by_industry_financial_pct,0.82,ratio,"Swfte 2026; Vention 2026","https://www.swfte.com","2026-07-14",High,"Financial Services: 82% (fraud detection, ROI 11mo)"
AI_Adoption_Diffusion,enterprise_ai_adoption_by_industry_retail_pct,0.74,ratio,"Swfte 2026; Vention 2026","https://www.swfte.com","2026-07-14",High,"Retail/E-commerce: 74% (personalization, ROI 10mo)"
AI_Adoption_Diffusion,enterprise_ai_adoption_by_industry_healthcare_pct,0.61,ratio,"Swfte 2026; Vention 2026","https://www.swfte.com","2026-07-14",High,"Healthcare: 61% (clinical docs, ROI 18mo)"
AI_Adoption_Diffusion,enterprise_ai_adoption_by_industry_manufacturing_pct,0.58,ratio,"Swfte 2026; Vention 2026","https://www.swfte.com","2026-07-14",High,"Manufacturing: 58% (predictive maintenance, ROI 16mo)"
AI_Adoption_Diffusion,enterprise_ai_adoption_by_industry_education_pct,0.45,ratio,"Swfte 2026; Vention 2026","https://www.swfte.com","2026-07-14",High,"Education: 45% (personalized learning, ROI 20mo)"
AI_Adoption_Diffusion,bass_diffusion_p_coefficient,0.03,ratio,"Bass Diffusion Model fit to AI adoption 2022-2025","https://www.bassmodel.com","2026-07-14",Medium,"p (innovation) = 0.03 for enterprise AI adoption"
AI_Adoption_Diffusion,bass_diffusion_q_coefficient,0.38,ratio,"Bass Diffusion Model fit to AI adoption 2022-2025","https://www.bassmodel.com","2026-07-14",Medium,"q (imitation) = 0.38 for enterprise AI adoption"
AI_Adoption_Diffusion,market_saturation_enterprise_ai_pct,0.95,ratio,"Bass model projection; IDC 2026","https://www.idc.com","2026-07-14",Medium,"95% eventual saturation for enterprise AI adoption"
AI_Adoption_Diffusion,time_to_50_pct_adoption_years,3.5,date,"Bass model projection from 2022 baseline","https://www.bassmodel.com","2026-07-14",Medium,"~3.5 years from 2022 to 50% enterprise adoption"
AI_Adoption_Diffusion,time_to_90_pct_adoption_years,8,date,"Bass model projection from 2022 baseline","https://www.bassmodel.com","2026-07-14",Low,"~8 years to 90% saturation (2030)"
AI_Adoption_Diffusion,consumer_ai_adoption_speed_vs_internet_pc_smartphone,3,ratio,"Microsoft AI Diffusion 2025; Menlo Ventures Consumer AI 2025","https://www.microsoft.com","2026-07-14",High,"AI adoption 3x faster than PC/internet/smartphone diffusion"
AI_Adoption_Diffusion,consumer_ai_global_users_billion,1.75,USD_B,"Menlo Ventures Consumer AI 2025; Stanford AI Index 2025","https://menlovc.com","2026-07-14",High,"1.7-1.8B global AI users (Morning Consult 5,031 US adults nationally rep)"
AI_Adoption_Diffusion,consumer_ai_us_adoption_pct,0.61,ratio,"Menlo Ventures Consumer AI 2025 (Morning Consult Apr 2025)","https://menlovc.com","2026-07-14",High,"61% US adults used AI in past 6 months (up from ~20% in 2023)"
AI_Adoption_Diffusion,singapore_consumer_ai_adoption_pct,0.61,ratio,"Stanford AI Index 2025","https://aiindex.stanford.edu","2026-07-14",High,"Singapore 61% consumer adoption (outpaces US 28.3%)"
AI_Adoption_Diffusion,uae_consumer_ai_adoption_pct,0.54,ratio,"Stanford AI Index 2025","https://aiindex.stanford.edu","2026-07-14",High,"UAE 54% consumer adoption (2nd globally)"
AI_Adoption_Diffusion,us_consumer_ai_adoption_pct,0.283,ratio,"Stanford AI Index 2025","https://aiindex.stanford.edu","2026-07-14",High,"US ranks 24th globally at 28.3% consumer AI adoption"
AI_Adoption_Diffusion,ai_diffusion_global_working_age_pct,0.163,ratio,"Microsoft AI Diffusion Report 2025","https://www.microsoft.com","2026-07-14",High,"16.3% global working-age population using gen AI (H2 2025)"
AI_Adoption_Diffusion,ai_diffusion_global_north_pct,0.247,ratio,"Microsoft AI Diffusion Report 2025","https://www.microsoft.com","2026-07-14",High,"24.7% Global North working-age using gen AI"
AI_Adoption_Diffusion,ai_diffusion_global_south_pct,0.141,ratio,"Microsoft AI Diffusion Report 2025","https://www.microsoft.com","2026-07-14",High,"14.1% Global South working-age using gen AI (divide widening)"
AI_Adoption_Diffusion,global_ai_user_growth_rate_yoy_pct,2.0,ratio,"Menlo Ventures 2025; Stanford AI Index 2025","https://menlovc.com","2026-07-14",High,"Global AI users growing ~2x year-over-year (2023->2025)"
AI_Adoption_Diffusion,enterprise_ai_strategy_formal_pct,0.58,ratio,"Deloitte State of AI 2026","https://www.deloitte.com","2026-07-14",High,"58% of enterprises have formal, company-wide AI strategy"
AI_Adoption_Diffusion,enterprise_ai_strategy_show_pct,0.75,ratio,"Writer 2026 Enterprise AI Survey","https://www.writer.com","2026-07-14",High,"75% of executives admit AI strategy is 'more for show' than guidance"
AI_Adoption_Diffusion,enterprise_ai_elite_cultivation_pct,0.92,ratio,"Writer 2026 Enterprise AI Survey","https://www.writer.com","2026-07-14",High,"92% of C-suite actively cultivating 'AI elite' employees"
AI_Adoption_Diffusion,enterprise_ai_layoff_non_adopters_pct,0.60,ratio,"Writer 2026 Enterprise AI Survey","https://www.writer.com","2026-07-14",Medium,"60% planning layoffs for non-adopters of AI tools"
AI_Adoption_Diffusion,enterprise_ai_data_breach_from_unapproved_tools_pct,0.67,ratio,"Writer 2026 Enterprise AI Survey","https://www.writer.com","2026-07-14",Medium,"67% believe company suffered breach due to unapproved AI tools"
AI_Adoption_Diffusion,enterprise_ai_significant_roi_genai_pct,0.29,ratio,"Writer 2026 Enterprise AI Survey","https://www.writer.com","2026-07-14",High,"Only 29% see significant ROI from generative AI (despite 5x individual productivity)"
AI_Adoption_Diffusion,individual_productivity_gain_ai_pct,4.0,ratio,"Writer 2026; Anthropic Economic Index 2025","https://www.writer.com","2026-07-14",High,"Individual productivity gains ~4-5x reported (task-level)"
AI_Adoption_Diffusion,enterprise_ai_adoption_2025_q4_pct,0.78,ratio,"McKinsey State of AI 2025; Writer 2026","https://www.mckinsey.com","2026-07-14",High,"78% orgs using AI in at least one function (Q4 2025)"
AI_Adoption_Diffusion,enterprise_ai_adoption_2023_q4_pct,0.55,ratio,"McKinsey State of AI 2024","https://www.mckinsey.com","2026-07-14",High,"55% orgs using AI in at least one function (Q4 2023)"
AI_Adoption_Diffusion,enterprise_genai_weekly_usage_pct_2024,0.72,ratio,"McKinsey State of AI 2024","https://www.mckinsey.com","2026-07-14",High,"72% reporting weekly gen AI usage in 2024 (+35pp YoY)"
AI_Adoption_Diffusion,enterprise_genai_weekly_usage_pct_2023,0.37,ratio,"McKinsey State of AI 2023","https://www.mckinsey.com","2026-07-14",High,"37% reporting weekly gen AI usage in 2023"
