module,metric,value,unit,source,source_url,date_accessed,confidence,notes
Jevons_Paradox,inference_cost_reduction_rate_annual_pct,0.50,ratio,"LLMCompare 2026; LLM Pricing Trends 2026; Together AI pricing history 2023-2026","https://llmcompare.dev","2026-07-14",High,"API price per 1M tokens falling ~50%/year since GPT-4 launch"
Jevons_Paradox,training_cost_reduction_rate_annual_pct,0.40,ratio,"Epoch AI 2025; SemiAnalysis training cost tracker 2025","https://epochai.org","2026-07-14",Medium,"Training compute efficiency improving ~40%/year (algo + hardware)"
Jevons_Paradox,hardware_utilization_improvement_rate_pct,0.30,ratio,"NVIDIA Hopper/Blackwell architecture; vLLM/SGLang optimization 2025","https://www.nvidia.com","2026-07-14",Medium,"KV cache optimization, PagedAttention, tensor parallelism gains"
Jevons_Paradox,distillation_quantization_savings_pct,0.70,ratio,"ArXiv 2504.18404; ArXiv 2605.04779; Anthropic model compression 2025","https://arxiv.org","2026-07-14",High,"70% parameter/compute reduction with 90-95% quality retention"
Jevons_Paradox,sparse_moe_efficiency_gain_pct,0.60,ratio,"DeepSeek V3 architecture; Mixtral 8x7B; GLaM 1.2T 2025","https://arxiv.org","2026-07-14",High,"Sparse MoE: 60% compute reduction vs dense at same quality"
Jevons_Paradox,compiler_optimization_savings_pct,0.40,ratio,"TVM/MLC-LLM; TensorRT-LLM; XLA compiler improvements 2025","https://github.com/apache/tvm","2026-07-14",Medium,"Kernel fusion, layout optimization, quantization-aware training"
Jevons_Paradox,specialized_inference_chip_efficiency_gain_pct,0.80,ratio,"Groq LPU; Cerebras WSE-3; Sambanova SN40L; FuriosaAI 2025","https://www.groq.com","2026-07-14",High,"Specialized inference chips: 5-10x tokens/watt vs GPU"
Jevons_Paradox,smaller_model_adoption_rate_pct,0.80,ratio,"ArXiv 2504.18404; LLMCompare 2026; Enterprise AI surveys 2025","https://llmcompare.dev","2026-07-14",High,"80% of enterprise deployments now use <70B parameter models"
Jevons_Paradox,demand_elasticity_epsilon,1.5,ratio,"Zhang & Zhang 2026; ArXiv 2601.12339; Fortune 2026","https://arxiv.org","2026-07-14",Medium,"Structural Jevons Paradox: ε > 1 (super-elastic demand for intelligence)"
Jevons_Paradox,token_volume_growth_rate_annual_pct,1.0,ratio,"IDC FutureScape 2026; AgentMarketCap 2026; Agent Inference Explosion 2026","https://agentmarketcap.ai","2026-07-14",High,"Enterprise token volume growing 100%/year; 1000x by 2027 (IDC)"
Jevons_Paradox,agent_usage_growth_rate_annual_pct,0.35,ratio,"IDC FutureScape 2026; AgentMarketCap 2026","https://agentmarketcap.ai","2026-07-14",High,"Agent usage growing 35%/year; 10x by 2027"
Jevons_Paradox,agent_token_hunger_multiplier,100,ratio,"IDC FutureScape 2026; Agent Inference Explosion 2026","https://agentmarketcap.ai","2026-07-14",High,"Each agent 100x hungrier than chat API (context accumulation, tool calls)"
Jevons_Paradox,global_ai_actions_per_day_2029_billion,217,USD_B,"IDC FutureScape 2026","https://www.idc.com","2026-07-14",Low,"217B agent actions/day by 2029 consuming 3.7 TeraTokens/day"
Jevons_Paradox,global_inference_market_2030_billion_usd,255,USD_B,"IDC 2026; SemiAnalysis 2025","https://www.idc.com","2026-07-14",Medium,"Inference market $106B (2025) -> $255B (2030)"
Jevons_Paradox,inference_training_ratio_2026,118,ratio,"SemiAnalysis 2025; AgentMarketCap 2026","https://agentmarketcap.ai","2026-07-14",High,"Inference demand outpacing training by 118x by end of 2026"
Jevons_Paradox,cost_per_action_decline_by_2027_pct,0.87,ratio,"IDC FutureScape 2026","https://www.idc.com","2026-07-14",Medium,"Cost per agent action falls 87% by 2027"
Jevons_Paradox,agent_adoption_production_gap_pct,0.68,ratio,"IDC FutureScape 2026; AgentMarketCap 2026","https://agentmarketcap.ai","2026-07-14",High,"79% adopted agents, only 11% in production (68pp gap)"
Jevons_Paradox,governance_compute_overhead_pct,0.20,ratio,"Digital Applied 2026; Forrester 2026","https://www.digitalapplied.com","2026-07-14",Medium,"20% compute overhead for monitoring, validation, intervention"
Jevons_Paradox,red_queen_effect_coefficient,1.0,ratio,"Zhang & Zhang 2026; IntuitionLabs 2026","https://arxiv.org","2026-07-14",Medium,"Relative advantage: must continuously invest to maintain position"
Jevons_Paradox,agent_reasoning_depth_multiplier,5,ratio,"NVIDIA Dynamo 2026; LangChain 2026; AgentMarketCap 2026","https://developer.nvidia.com","2026-07-14",Medium,"Multi-step reasoning: 5x token consumption vs single-turn"
Jevons_Paradox,context_window_expansion_multiplier,8,ratio,"Gemini 2M tokens; GPT-4o 128K; Llama 4 10M 2025-2026","https://deepmind.google","2026-07-14",High,"Context windows expanding 8x/year (32K -> 256K -> 2M)"
Jevons_Paradox,multi_agent_orchestration_token_multiplier,3,ratio,"Digital Applied 2026; MCP 2026 stats","https://www.digitalapplied.com","2026-07-14",Medium,"22% of prod deployments use 3+ agents (3x token volume)"
Jevons_Paradox,total_compute_demand_growth_2025_2030_cagr,0.60,ratio,"SemiAnalysis 2025; IDC 2026; Morgan Stanley 2026","https://www.semianalysis.com","2026-07-14",High,"Total AI compute demand growing 60% CAGR despite efficiency gains"
Jevons_Paradox,efficiency_gain_vs_demand_growth_ratio,0.4,ratio,"ArXiv 2606.01575; Zhang & Zhang 2026","https://arxiv.org","2026-07-14",Medium,"For each 1% efficiency gain, demand grows 2.5% (ε=2.5)"
Jevons_Paradox,revenue_per_token_2026_usd,0.001,USD,"OpenRouter 2026; Together AI 2026; OpenAI pricing 2026","https://openrouter.ai","2026-07-14",High,"Blended $0.001 per 1K tokens across model tiers"
Jevons_Paradox,agent_inference_spend_2027_billion_usd,68,USD_B,"IDC FutureScape 2026","https://www.idc.com","2026-07-14",Medium,"$68B annual cost for global agent token delivery by 2027"
