metric,p05,p25,p50,p75,p95
aggregate_fair_value_to_market,-0.3033080072165488,0.11921993603488815,0.21407844471206616,0.40925999031987537,0.8762976552543854
revenue_cagr_10y,-0.027790012517616012,0.05011823886828609,0.11463740505431241,0.1745316014799373,0.24942633479581924
fcf_margin10,-0.08518081504454281,0.0301017925321071,0.06775514774187849,0.10539287775141834,0.1684046901543442
capex_to_revenue5,0.19171172715569493,0.21312780041526738,0.2332021747672367,0.2609978503986119,0.31567067490452366
avg_overcapacity_5y,0.0,0.0,0.0,0.0,0.1920102253737164
terminal_enterprise_adoption,0.4450420930701682,0.4898484652388142,0.5333294909101136,0.5940104864554159,0.7302937628803927
terminal_token_volume_index,383.34136049296563,3339.6474316155454,20722.032504471827,120052.78933434532,2194850.0467601214
terminal_compute_utilization,0.7229142528017192,1.0,1.0,1.0,1.0
price_target_ratio_5y_vs_market0,0.3534410205007839,0.9872079029990982,1.7094040531277912,2.910815273264927,5.334848766755267
price_target_ratio_10y_vs_market0,0.26053616153944303,1.103766440157895,2.2171665600127892,4.623081945520647,12.984794980216243
prob_rapid_dotcom_style_burst,0.23075627311008023,0.7238315045510868,0.9909899399313817,0.998862677163398,0.9991422053280832
prob_gradual_valuation_deflation,0.0007027630085929626,0.0009666329822718334,0.0071019458863683495,0.1673365164751264,0.3848365113087455
prob_japan_style_prolonged_stagnation,7.777674206749749e-05,9.47982311910836e-05,0.0009782946243753414,0.048521251240237644,0.15519340142480997
prob_productivity_led_expansion,5.1450191594234744e-05,8.611569322051052e-05,0.0010538038742150253,0.05266565524431961,0.21726980352289385
