iso,service,price_usd_mw_yr,volume_mw,date,source
caiso,regulation_up,45000,1200,2024-01,caiso_market_report
caiso,regulation_down,38000,1100,2024-01,caiso_market_report
caiso,spinning_reserve,25000,800,2024-01,caiso_market_report
caiso,non_spinning_reserve,18000,600,2024-01,caiso_market_report
caiso,capacity,65000,45000,2024-01,caiso_ra_report
pjm,regulation,42000,1500,2024-01,pjm_market_report
pjm,synchronized_reserve,30000,1200,2024-01,pjm_market_report
pjm,capacity,55000,150000,2024-01,pjm_ra_report
ercot,regulation_up,55000,800,2024-01,ercot_market_report
ercot,regulation_down,48000,750,2024-01,ercot_market_report
ercot,responsive_reserve,42000,1000,2024-01,ercot_market_report
ercot,capacity,0,0,2024-01,ercot_energy_only
miso,regulation,38000,1000,2024-01,miso_market_report
miso,spinning_reserve,22000,800,2024-01,miso_market_report
miso,capacity,48000,80000,2024-01,miso_ra_report
nyiso,regulation,40000,600,2024-01,nyiso_market_report
nyiso,spinning_reserve,28000,500,2024-01,nyiso_market_report
nyiso,capacity,62000,35000,2024-01,nyiso_ra_report
iso-ne,regulation,43000,500,2024-01,iso-ne_market_report
iso-ne,capacity,58000,28000,2024-01,iso-ne_ra_report
spp,regulation,35000,400,2024-01,spp_market_report
spp,capacity,38000,55000,2024-01,spp_ra_report
