jurisdiction,regulation,tier,status,effective_date,requirements,compliance_cost_low,compliance_cost_median,compliance_cost_high,cost_unit,enforcement_probability,source
eu,ai_act,high_risk,active,2026-08-02,"conformity_assessment,risk_management,data_governance,technical_documentation,logging,human_oversight",50000,200000,1000000,eur_per_model_per_year,0.9,eu_commission_impact_assessment
eu,ai_act,gpai_systemic,active,2025-08-02,"technical_documentation,transparency_reports,training_data_summaries,adversarial_testing,incident_reporting",100000,500000,2000000,eur_per_model_per_year,0.95,cranium_ai_blog
eu,ai_act,gpai_standard,active,2025-08-02,"technical_documentation,transparency_reports,training_data_summaries",25000,100000,500000,eur_per_model_per_year,0.9,cranium_ai_blog
eu,ai_act,prohibited,banned,2025-02-02,"social_scoring,realtime_biometric_id,manipulative_ai",0,0,0,eur_per_model_per_year,1.0,eu_ai_act_text
eu,gdpr_art22,automated_decisions,active,2018-05-25,"right_to_explanation,human_review,contest_decisions",10000,50000,200000,eur_per_system_per_year,0.8,dpaguidance
eu,dsa,vlop,active,2024-08-25,"risk_assessment,independent_audit,transparency_reporting,crisis_response",500000,2000000,10000000,eur_per_year,0.9,ec_enforcement
eu,dma,gatekeeper,active,2024-03-06,"interoperability,data_portability,fair_ranking,no_self_preferencing",1000000,5000000,20000000,eur_per_year,0.95,ec_enforcement
us,eo_14110,ai_safety,active,2023-10-30,"red_teaming,watermarking,cfius_review,nist_rmf_adoption",100000,500000,2000000,usd_per_model_per_year,0.8,whitehouse_factsheet
us,nist_rmf,voluntary,active,2023-01-01,"govern,map,measure,manage_functions",50000,200000,1000000,usd_per_org_per_year,0.0,nist_publication
us,sec_ai_disclosure,public_cos,active,2024-01-01,"10k_risk_factors,materiality_assessment",25000,100000,500000,usd_per_filing,0.9,sec_guidance
us,copyright_nyt_v_openai,litigation,active,2023-12-27,"training_data_licensing,fair_use_defense",1000000,10000000,100000000,usd_per_case,0.7,court_filings
us,bis_3a090_4a090,export_controls,active,2025-01-16,"license_requirement_china_d5_macau,end_user_controls",50000,200000,1000000,usd_per_license,1.0,bis_federal_register
us,bis_ai_diffusion,global_licensing,suspended,2025-05-01,"three_tier_country_classification,veu_program,model_weight_controls",0,0,0,usd_per_license,0.3,bis_guidance_june2025
china,interim_measures_genai,filing_required,active,2023-08-15,"security_assessment,algorithm_filing,content_control,user_verification",100000,500000,2000000,cny_per_model_per_year,0.9,cac_filings
china,data_security_law,active,active,2021-09-01,"data_classification,cross_border_transfer_assessment,critical_data_localization",200000,1000000,5000000,cny_per_org_per_year,0.85,csaregulations
china,pipil,active,active,2021-11-01,"consent,anonymization,cross_border_standard_contracts",100000,500000,2000000,cny_per_org_per_year,0.8,csaregulations
uk,ai_white_paper,principles_based,active,2023-03-29,"sectoral_regulation,sandboxes,proportionality",25000,100000,500000,gbp_per_model_per_year,0.6,dsit_consultation
india,dpdp_act,rules_pending,active,2023-08-11,"data_localization,consent_manager,breach_notification",500000,2000000,10000000,inr_per_org_per_year,0.7,meity_draft
uae,ai_strategy_2031,licensing,active,2023-01-01,"ai_license,data_sovereignty,ethical_framework",50000,200000,1000000,aed_per_model_per_year,0.8,difc_authority
ksa,nca_ai_ethics,registration,active,2023-06-01,"ai_classification,registration,risk_assessment",25000,100000,500000,sar_per_model_per_year,0.7,sdaia_guidelines
