facility_id,facility_name,operator,tenant,hyperscaler_category,city,state_province,country,status,capacity_mw,capacity_category,expected_online_date,project_cost_usd,cooling_type,power_source,purpose,source_url,notes,tier
DC-00001,Stratos Hyperscale Campus,Bitzero Blockchain Inc.,,Other/Unclassified,,Utah,United States,Planned,9000,Mega campus (>1,,,,,,Largest announced US project,AI/Hyperscale,Tier 1
DC-00002,Monarch Compute Campus,Nscale Ltd.,2027,Other/Unclassified,,West Virginia,United States,Planned,8000,Mega campus (>1,,,,,,$1.6B+ investment,AI/Hyperscale,Tier 1
DC-00003,GW Ranch,Pacifico Energy,2027,Other/Unclassified,,Texas,United States,Planned,7650,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00004,New Era Lea Data Center,New Era Energy & Digital,2028,Other/Unclassified,,New Mexico,United States,Planned,7000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00005,Data City Texas,Energy Abundance,2027,Other/Unclassified,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00006,Sailfish Comanche Circle,Sailfish Digital Ventures,2028,Other/Unclassified,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00007,GridFree AI South Dallas One,GridFree AI,2026,Other/Unclassified,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00027,Meta Hyperion Campus,Meta,2026,Meta,,Louisiana,United States,Under Construction,5000,Mega campus (>1,,,,,Meta,$10B+ campus,AI/Hyperscale,Tier 1
DC-00030,Meta Hyperion,Meta,,Meta,,Louisiana,United States,Under Construction,5000,Mega campus (>1,,,,,Meta,,AI/Hyperscale,Tier 1
DC-00008,Fermi Phase 3 (SMR/Expansion),Fermi America,2036,Other/Unclassified,,Texas,United States,Planned,4600,Mega campus (>1,,,,,,Nuclear SMR,AI/Hyperscale,Tier 1
DC-00009,Homer City Energy Campus,Homer City Redevelopment,2027,Other/Unclassified,,Pennsylvania,United States,Planned,4500,Mega campus (>1,,,,,,Repurposed coal plant,AI/Hyperscale,Tier 1
DC-00010,Fermi Phase 2 (Nuclear),Fermi America,2032,Other/Unclassified,,Texas,United States,Planned,4400,Mega campus (>1,,,,,,Nuclear,AI/Hyperscale,Tier 1
DC-00011,High Performance Compute Campus,Joule Capital Partners,2026,Other/Unclassified,,Utah,United States,Planned,4000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
