year,enterprise_adoption,consumer_adoption,token_volume_index,price_index,price_decline,compute_per_token_index,training_compute_index,compute_demand_index,compute_capacity_index,utilization,overcapacity_ratio,allowed_capacity_growth,global_capacity_capex_bn,token_growth,net_productivity_benefit_ratio,enterprise_roi,governance_cost_ratio,actual_cloud_demand_index,monetized_ai_spend_index,adoption_index,onsite_energy_mwh,onsite_fuel_cost_bn,onsite_carbon_cost_bn,onsite_grid_services_revenue_bn,onsite_grid_equivalent_cost_bn,onsite_net_delta_vs_grid_bn,onsite_power_growth_bonus
2026,0.18,0.35,1.0,1.0,0.0,1.0,0.18,1.18,1.25,0.944,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1.18,1.0,0.23099999999999998,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2027,0.19058492823533255,0.3987595202060765,1.5840522780142934,0.7823274082222497,0.2176725917777503,0.75,0.23059309167030162,1.4186323001810217,1.50578125,0.9421237647772687,0.0,0.284625,151.62750000000003,0.5840522780142934,-0.020731582499999998,-0.9125820402773193,0.005467500000000001,1.1098349306209871,1.2392475131474727,0.2530373058265557,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2028,0.20190653677957415,0.44902082042780744,2.5191870849729443,0.6106210714449678,0.2194814280730174,0.5625,0.3117564045462284,1.7287991398435096,1.8320840468750001,0.9436243619894708,0.0,0.2967,189.34536675000004,0.5903433996073032,-0.01694747222707532,-0.8937292098191943,0.005467500000000001,1.0556411830843826,1.5382687169965044,0.2760408218740441,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2029,0.21404578922989984,0.49941175445756353,4.017861054507085,0.4757408906498914,0.2208901511962194,0.421875,0.4222725048726539,2.1173076372428303,2.2438449364101567,0.9436069324069387,0.0,0.30475,235.80387350518754,0.5949037999098176,-0.013954243576449855,-0.8721013342171542,0.005467500000000001,1.0072898211217212,1.9114607965787125,0.29965557879819893,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2030,0.2270872995598679,0.548489054570718,6.419844871820675,0.3701324710730576,0.2219872658676999,0.31640625,0.5726470891423044,2.603926130616815,2.761051194252698,0.94309230340859,0.0,0.31050000000000005,293.5487699609224,0.5978265013965913,-0.01159400604655553,-0.847885059354903,0.005467500000000001,0.963797613216907,2.376193046312683,0.3235078260631229,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2031,0.24111483391707225,0.5948988079338461,10.267308896886092,0.28765152212978706,0.22284169963296804,0.2373046875,0.7770391822969749,3.213519711538499,3.40938052780316,0.942552374348526,0.0,0.3148125,365.59354968219395,0.599307943086524,-0.009736212444114323,-0.8214628943365421,0.005467500000000001,0.9243738364181235,2.9534070323659893,0.34725002612210437,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2032,0.25620576614910173,0.6375266568856757,16.424024876263818,0.2233593550238721,0.22350713331844155,0.177978515625,1.054527346605685,3.9776509146711936,4.22138132350828,0.9422628779163384,0.0,0.3181666666666667,455.64779709842935,0.5996426172826024,-0.0082746422164378,-0.7933890538106472,0.005467500000000001,0.8884455428110728,3.6684596032583174,0.3706020333700739,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2033,0.27242513418008457,0.6756026816352162,26.265077783135215,0.17332119206898555,0.22402537359377037,0.13348388671875,1.4308439111208435,4.9368085785840226,5.238101015275249,0.9424805982525722,0.0,0.32085,568.3363874516256,0.5991864345684106,-0.007123889110804908,-0.7643289724547278,0.005467500000000001,0.8556535478565769,4.552294591157624,0.39337839841662403,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2034,0.2898200706507804,0.7087403537740974,41.9795331397465,0.13442289380271058,0.22442897952601562,0.1001129150390625,1.9407542829903242,6.143447717589273,6.51119765748783,0.9435203845369912,0.0,0.3230454545454546,709.4522110368908,0.5983022584727133,-0.0062158984391744755,-0.7349751545996197,0.005467500000000001,0.8258200201240076,5.643010325131513,0.4154961555877755,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2035,0.3084152675839421,0.7369102017653463,67.05418785356393,0.10421224795945516,0.22474330814210047,0.07508468627929688,2.631315656453652,7.666058315151539,8.105627183865163,0.9457699128343063,0.0,0.324875,886.2651579512985,0.5973066596606952,-0.0054968210153091696,-0.7059610601871197,0.005467500000000001,0.7988971700102152,6.987867651315491,0.43696374783836334,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2036,0.32820983143875304,0.7603667387311785,107.04755137711871,0.08076573151123084,0.22498810751444911,0.056313514709472656,3.5663255900154662,9.594549449103871,10.103040774904553,0.9496694770287626,0.0,0.3264230769230769,1107.9070519602926,0.5964334936230107,-0.004924287925790138,-0.6777947161580116,0.005467500000000001,0.774910804777551,8.645773793459059,0.4578569036264807,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2037,0.3491755371199369,0.7795548574728706,170.82868278582671,0.0625790044443996,0.22517875745732963,0.04223513603210449,4.832374960376207,12.047347616020826,12.606069126887157,0.9556783716444448,0.0,0.32775,1385.8543091752072,0.5958205544002864,-0.00446512086824309,-0.6508250027485271,0.005467500000000001,0.7539110200061941,10.690288899285179,0.47828933322581696,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
2038,0.371256245260861,0.795019031688156,272.5599465799749,0.04847825035494494,0.22532723578213748,0.03167635202407837,6.547061694930111,15.18076651046139,15.743719732569371,0.9642426801498895,0.0,0.3289,1734.5346027278638,0.5955162923177946,-0.004093447995124249,-0.625241424529862,0.005467500000000001,0.7359369994741112,13.213229327034442,0.49838508118904945,16425000.0,0.656917875,0.0,0.0625,1.14975,-0.5553321250000001,0.025
